NO_OF_FRAMES	165
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	329.391	1035.256	1251.522	228.162	1047.217	1274.653	327.237	1276.532	1233.788	385.668	1221.468	1143.836	355.491	982.284	1027.038	278.026	1373.323	1155.933	207.538	950.562	736.584	-47.029	1321.589	1017.049	72.605	900.296	896.652	49.227	1130.231	1098.587	460.254	771.359	1521.154	66.206	1067.842	953.364	47.994	629.831	965.445	535.058	1390.415	630.092
2	0.02000	325.435	1037.778	1254.214	223.981	1051.343	1276.689	325.012	1279.188	1234.101	383.147	1223.224	1144.890	352.414	983.107	1030.241	276.698	1374.795	1155.262	206.926	949.452	738.776	-48.561	1316.534	1021.634	70.005	900.266	897.655	50.512	1128.923	1107.662	465.169	767.301	1531.022	67.968	1065.952	966.570	42.996	631.795	968.754	534.644	1389.420	631.527
3	0.03000	321.212	1040.571	1257.331	219.523	1055.904	1278.981	322.813	1281.905	1234.050	380.663	1224.984	1145.900	349.475	983.883	1033.508	275.105	1376.492	1154.525	206.679	948.109	740.904	-49.949	1311.628	1026.007	67.408	899.972	898.203	51.744	1128.156	1116.793	470.862	764.361	1541.835	69.593	1064.191	980.918	37.789	633.600	971.555	534.281	1388.370	632.974
4	0.04000	316.677	1043.784	1260.781	214.839	1060.791	1281.467	320.616	1284.646	1233.640	378.228	1226.693	1146.839	346.696	984.594	1036.764	273.258	1378.323	1153.737	206.783	946.586	742.978	-51.200	1306.952	1029.953	65.040	899.705	898.516	52.789	1127.958	1125.799	477.242	762.895	1553.465	70.921	1062.674	996.210	32.574	635.217	973.935	533.974	1387.306	634.384
5	0.05000	311.847	1047.447	1264.404	209.994	1065.856	1284.021	318.403	1287.369	1232.940	375.856	1228.314	1147.689	344.109	985.241	1039.922	271.240	1380.188	1152.849	207.211	944.972	745.007	-52.341	1302.552	1033.236	63.114	899.729	898.814	53.554	1128.359	1134.512	484.055	763.268	1565.731	71.749	1061.478	1012.082	27.622	636.656	976.053	533.723	1386.276	635.712
6	0.06000	306.805	1051.448	1267.998	205.067	1070.927	1286.475	316.155	1290.031	1232.048	373.563	1229.838	1148.440	341.757	985.840	1042.902	269.167	1381.980	1151.760	207.927	943.383	746.982	-53.410	1298.457	1035.635	61.765	900.192	899.279	54.002	1129.404	1142.765	490.873	765.820	1578.466	71.859	1060.628	1028.063	23.224	637.958	978.093	533.519	1385.319	636.921
7	0.07000	301.708	1055.512	1271.363	200.150	1075.816	1288.660	313.842	1292.604	1231.076	371.370	1231.277	1149.090	339.704	986.418	1045.643	267.137	1383.581	1150.352	208.884	941.941	748.877	-54.444	1294.701	1036.977	61.026	901.084	900.018	54.155	1131.153	1150.354	497.141	770.826	1591.564	71.029	1060.108	1043.693	19.619	639.187	980.195	533.350	1384.452	637.982
8	0.08000	296.784	1059.228	1274.340	195.358	1080.320	1290.426	311.447	1295.050	1230.129	369.303	1232.653	1149.634	338.019	987.011	1048.102	265.186	1384.898	1148.576	210.022	940.742	750.646	-55.465	1291.356	1037.151	60.857	902.272	901.039	54.055	1133.620	1157.018	502.281	778.451	1604.966	69.066	1059.885	1058.592	16.927	640.410	982.389	533.202	1383.669	638.879
9	0.09000	292.290	1062.169	1276.834	190.825	1084.239	1291.663	308.993	1297.295	1229.291	367.397	1233.990	1150.064	336.773	987.659	1050.247	263.240	1385.919	1146.539	211.280	939.847	752.237	-56.475	1288.530	1036.121	61.183	903.568	902.262	53.703	1136.724	1162.473	505.806	788.723	1618.610	65.867	1059.943	1072.479	15.138	641.661	984.589	533.060	1382.952	639.604
10	0.10000	288.410	1064.117	1278.790	186.693	1087.403	1292.310	306.558	1299.231	1228.612	365.687	1235.305	1150.366	336.024	988.392	1052.042	261.117	1386.750	1144.519	212.604	939.272	753.596	-57.462	1286.314	1033.900	61.924	904.781	903.561	53.045	1140.271	1166.482	507.380	801.521	1632.392	61.462	1060.291	1085.126	14.140	642.908	986.626	532.917	1382.289	640.149
11	0.11000	285.194	1065.164	1280.166	183.105	1089.709	1292.349	304.237	1300.757	1228.109	364.187	1236.615	1150.540	335.800	989.225	1053.448	258.626	1387.574	1142.800	213.966	939.001	754.666	-58.421	1284.712	1030.531	63.022	905.767	904.801	51.991	1143.997	1168.890	506.809	816.594	1646.157	56.030	1060.917	1096.292	13.778	644.057	988.314	532.775	1381.679	640.509
12	0.12000	282.626	1065.571	1280.915	180.171	1091.130	1291.807	302.100	1301.829	1227.777	362.892	1237.925	1150.593	336.091	990.150	1054.428	255.707	1388.560	1141.480	215.368	938.991	755.404	-59.354	1283.644	1026.073	64.437	906.451	905.856	50.449	1147.615	1169.644	503.996	833.600	1659.718	49.882	1061.756	1105.691	13.918	644.977	989.508	532.646	1381.131	640.678
13	0.13000	280.701	1065.575	1281.011	177.950	1091.701	1290.757	300.167	1302.474	1227.585	361.778	1239.228	1150.540	336.850	991.133	1054.963	252.497	1389.787	1140.410	216.830	939.178	755.785	-60.251	1283.016	1020.614	66.142	906.825	906.612	48.348	1150.869	1168.798	498.887	852.137	1672.863	43.402	1062.694	1113.011	14.495	645.546	990.131	532.549	1380.660	640.659
14	0.14000	279.436	1065.334	1280.475	176.445	1091.501	1289.311	298.421	1302.764	1227.479	360.807	1240.497	1150.390	338.005	992.128	1055.063	249.251	1391.229	1139.314	218.391	939.486	755.797	-61.085	1282.768	1014.274	68.096	906.937	906.976	45.657	1153.588	1166.509	491.458	871.773	1685.348	36.957	1063.574	1117.971	15.528	645.679	990.162	532.495	1380.285	640.462
15	0.15000	278.831	1064.955	1279.395	175.629	1090.633	1287.588	296.824	1302.786	1227.395	359.934	1241.697	1150.136	339.466	993.091	1054.763	246.204	1392.787	1137.945	220.092	939.833	755.439	-61.811	1282.889	1007.204	70.225	906.857	906.885	42.411	1155.719	1163.010	481.713	892.071	1696.907	30.831	1064.212	1120.381	17.112	645.338	989.615	532.480	1380.025	640.105
16	0.16000	278.853	1064.514	1277.898	175.457	1089.214	1285.691	295.339	1302.625	1227.276	359.124	1242.790	1149.770	341.137	993.982	1054.113	243.488	1394.344	1136.199	221.967	940.145	754.717	-62.380	1283.406	999.578	72.431	906.634	906.329	38.698	1157.330	1158.560	469.698	912.623	1707.291	25.209	1064.403	1120.191	19.367	644.534	988.514	532.490	1379.903	639.614
17	0.17000	279.426	1064.079	1276.111	175.857	1087.379	1283.699	293.937	1302.357	1227.092	358.364	1243.744	1149.297	342.920	994.771	1053.168	241.131	1395.833	1134.130	224.029	940.370	753.645	-62.756	1284.346	991.564	74.621	906.289	905.348	34.635	1158.560	1153.404	455.530	933.076	1716.319	20.203	1063.948	1117.505	22.381	643.325	986.886	532.505	1379.939	639.015
18	0.18000	280.448	1063.685	1274.153	176.721	1085.288	1281.676	292.613	1302.038	1226.835	357.667	1244.538	1148.733	344.731	995.438	1051.982	239.088	1397.234	1131.888	226.250	940.508	752.256	-62.917	1285.708	983.308	76.760	905.836	904.019	30.342	1159.558	1147.731	439.418	953.120	1723.894	15.893	1062.691	1112.572	26.151	641.803	984.775	532.504	1380.144	638.333
19	0.19000	281.806	1063.318	1272.128	177.922	1083.099	1279.670	291.384	1301.696	1226.519	357.059	1245.162	1148.105	346.501	995.975	1050.607	237.305	1398.533	1129.628	228.548	940.626	750.598	-62.857	1287.459	974.920	78.864	905.299	902.433	25.917	1160.434	1141.656	421.666	972.487	1730.002	12.344	1060.582	1105.756	30.570	640.087	982.240	532.473	1380.516	637.594
20	0.20000	283.394	1062.901	1270.128	179.338	1080.931	1277.713	290.293	1301.326	1226.168	356.571	1245.622	1147.436	348.187	996.396	1049.098	235.756	1399.701	1127.432	230.818	940.829	748.737	-62.576	1289.541	966.479	80.975	904.712	900.675	21.435	1161.235	1135.226	402.638	990.953	1734.678	 9.591	1057.715	1097.481	35.460	638.303	979.352	532.410	1381.041	636.818
21	0.21000	285.116	1062.339	1268.229	180.870	1078.837	1275.814	289.400	1300.890	1225.812	356.224	1245.940	1146.754	349.773	996.726	1047.509	234.439	1400.720	1125.320	232.993	941.201	746.748	-62.079	1291.894	958.042	83.131	904.104	898.821	16.959	1161.950	1128.435	382.716	1008.353	1737.984	 7.614	1054.307	1088.171	40.612	636.568	976.191	532.320	1381.694	636.023
22	0.22000	286.881	1061.572	1266.481	182.438	1076.831	1273.974	288.781	1300.332	1225.480	356.022	1246.155	1146.094	351.266	997.001	1045.895	233.317	1401.615	1123.324	235.069	941.772	744.710	-61.368	1294.462	949.660	85.352	903.495	896.923	12.565	1162.548	1121.265	362.255	1024.584	1739.985	 6.314	1050.661	1078.206	45.837	634.972	972.831	532.216	1382.446	635.225
23	0.23000	288.597	1060.616	1264.902	183.972	1074.927	1272.202	288.511	1299.592	1225.205	355.950	1246.311	1145.490	352.691	997.255	1044.308	232.305	1402.447	1121.520	237.084	942.535	742.688	-60.441	1297.206	941.383	87.641	902.889	895.012	 8.353	1163.013	1113.717	341.541	1039.594	1740.745	 5.515	1047.082	1067.900	50.997	633.571	969.341	532.112	1383.265	634.436
24	0.24000	290.180	1059.559	1263.479	185.400	1073.155	1270.534	288.637	1298.634	1225.009	355.984	1246.442	1144.965	354.080	997.516	1042.795	231.311	1403.270	1119.984	239.085	943.466	740.725	-59.300	1300.101	933.265	89.977	902.295	893.100	 4.436	1163.360	1105.839	320.777	1053.376	1740.338	 5.001	1043.786	1057.499	56.020	632.374	965.776	532.026	1384.119	633.667
25	0.25000	291.573	1058.520	1262.189	186.664	1071.550	1269.021	289.121	1297.484	1224.896	356.099	1246.564	1144.523	355.461	997.802	1041.389	230.276	1404.115	1118.758	241.107	944.542	738.847	-57.951	1303.134	925.360	92.324	901.728	891.188	 0.899	1163.637	1097.723	300.088	1065.960	1738.859	 4.601	1040.841	1047.160	60.894	631.353	962.168	531.973	1384.980	632.930
