NO_OF_FRAMES	128
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	415.243	1005.179	1230.661	320.304	1040.015	1262.584	464.401	1243.670	1231.638	482.938	1244.817	1142.772	561.300	1014.670	1036.589	297.081	1377.166	1117.307	499.335	930.237	735.030	62.203	1261.049	840.952	376.001	837.565	887.595	118.594	1058.271	941.317	190.795	860.346	1578.390	236.538	979.037	835.576	452.534	579.342	945.858	546.084	1407.868	598.953
2	0.02000	415.154	1005.663	1230.160	320.170	1040.386	1261.897	464.309	1244.130	1231.827	482.978	1245.319	1142.583	561.068	1015.131	1036.487	297.305	1378.395	1116.966	499.220	931.305	734.636	62.489	1264.410	839.090	375.716	838.826	887.173	117.196	1060.539	938.186	186.238	859.208	1574.728	235.311	981.177	832.660	451.507	580.222	944.835	546.209	1407.926	598.643
3	0.03000	415.133	1006.140	1229.679	320.067	1040.728	1261.239	464.185	1244.599	1232.028	483.016	1245.800	1142.414	560.839	1015.566	1036.401	297.492	1379.557	1116.629	499.093	932.311	734.296	62.827	1267.759	837.341	375.426	840.056	886.790	115.859	1062.772	935.201	182.261	857.971	1571.152	234.103	983.382	829.869	450.449	581.099	943.817	546.357	1407.911	598.349
4	0.04000	415.177	1006.613	1229.212	319.998	1041.042	1260.624	464.017	1245.082	1232.224	483.056	1246.273	1142.278	560.611	1015.970	1036.333	297.660	1380.658	1116.290	498.968	933.258	734.004	63.213	1271.082	835.733	375.115	841.229	886.408	114.592	1064.977	932.394	178.802	856.652	1567.621	232.923	985.606	827.168	449.425	581.953	942.817	546.511	1407.850	598.070
5	0.05000	415.273	1007.083	1228.779	319.962	1041.331	1260.061	463.802	1245.582	1232.406	483.098	1246.738	1142.177	560.388	1016.336	1036.286	297.828	1381.703	1115.946	498.853	934.148	733.746	63.634	1274.345	834.271	374.780	842.336	886.022	113.401	1067.155	929.778	175.835	855.259	1564.114	231.762	987.803	824.527	448.501	582.752	941.855	546.647	1407.778	597.815
6	0.06000	415.401	1007.546	1228.399	319.956	1041.596	1259.557	463.548	1246.097	1232.571	483.145	1247.187	1142.106	560.174	1016.662	1036.264	298.006	1382.696	1115.600	498.746	934.981	733.507	64.071	1277.502	832.931	374.425	843.364	885.641	112.292	1069.297	927.339	173.365	853.808	1560.640	230.608	989.939	821.936	447.721	583.471	940.943	546.750	1407.719	597.590
7	0.07000	415.540	1008.000	1228.084	319.972	1041.848	1259.113	463.274	1246.619	1232.723	483.195	1247.613	1142.056	559.970	1016.951	1036.262	298.193	1383.637	1115.262	498.640	935.759	733.273	64.500	1280.513	831.677	374.059	844.288	885.265	111.264	1071.395	925.051	171.405	852.328	1557.232	229.455	992.000	819.402	447.099	584.093	940.084	546.814	1407.681	597.395
8	0.08000	415.682	1008.439	1227.834	320.003	1042.097	1258.724	463.002	1247.140	1232.864	483.248	1248.009	1142.018	559.774	1017.214	1036.276	298.388	1384.533	1114.942	498.528	936.482	733.039	64.906	1283.361	830.475	373.686	845.092	884.885	110.319	1073.441	922.878	169.966	850.851	1553.931	228.319	994.003	816.933	446.617	584.635	939.263	546.844	1407.661	597.228
9	0.09000	415.820	1008.862	1227.640	320.044	1042.353	1258.389	462.751	1247.653	1232.998	483.301	1248.371	1141.985	559.583	1017.461	1036.293	298.587	1385.389	1114.647	498.407	937.153	732.808	65.284	1286.058	829.315	373.311	845.781	884.495	109.456	1075.427	920.790	169.049	849.409	1550.776	227.228	995.982	814.534	446.231	585.132	938.467	546.846	1407.658	597.085
10	0.10000	415.953	1009.267	1227.497	320.093	1042.621	1258.108	462.535	1248.153	1233.125	483.353	1248.702	1141.954	559.391	1017.705	1036.302	298.788	1386.208	1114.379	498.271	937.776	732.584	65.635	1288.624	828.194	372.939	846.369	884.093	108.673	1077.345	918.764	168.639	848.041	1547.789	226.203	997.956	812.200	445.900	585.605	937.690	546.823	1407.670	596.966
11	0.11000	416.081	1009.656	1227.393	320.150	1042.898	1257.880	462.358	1248.637	1233.245	483.402	1249.006	1141.921	559.196	1017.954	1036.296	298.990	1386.989	1114.132	498.119	938.358	732.375	65.963	1291.076	827.115	372.576	846.879	883.686	107.965	1079.190	916.791	168.709	846.792	1544.971	225.250	999.922	809.931	445.597	586.051	936.939	546.779	1407.700	596.869
12	0.12000	416.204	1010.036	1227.320	320.213	1043.182	1257.704	462.218	1249.106	1233.354	483.447	1249.293	1141.884	559.004	1018.202	1036.278	299.189	1387.724	1113.896	497.950	938.905	732.182	66.270	1293.425	826.082	372.228	847.335	883.293	107.324	1080.959	914.871	169.216	845.707	1542.304	224.357	1001.866	807.720	445.298	586.468	936.224	546.715	1407.746	596.793
13	0.13000	416.326	1010.411	1227.269	320.281	1043.467	1257.578	462.110	1249.559	1233.449	483.491	1249.573	1141.844	558.824	1018.437	1036.253	299.374	1388.399	1113.654	497.769	939.418	732.009	66.555	1295.671	825.101	371.900	847.758	882.929	106.744	1082.650	913.017	170.112	844.815	1539.746	223.511	1003.777	805.553	444.979	586.870	935.562	546.641	1407.799	596.732
14	0.14000	416.450	1010.785	1227.235	320.355	1043.745	1257.498	462.027	1249.997	1233.522	483.536	1249.855	1141.806	558.661	1018.647	1036.229	299.531	1389.005	1113.392	497.581	939.898	731.856	66.815	1297.809	824.175	371.599	848.162	882.609	106.214	1084.264	911.246	171.343	844.126	1537.247	222.698	1005.644	803.398	444.625	587.281	934.966	546.565	1407.851	596.681
15	0.15000	416.576	1011.156	1227.214	320.431	1044.015	1257.459	461.958	1250.416	1233.565	483.583	1250.146	1141.781	558.510	1018.826	1036.206	299.641	1389.542	1113.097	497.394	940.344	731.719	67.047	1299.840	823.310	371.324	848.552	882.337	105.726	1085.801	909.576	172.856	843.629	1534.757	221.909	1007.459	801.222	444.246	587.698	934.449	546.493	1407.896	596.635
16	0.16000	416.699	1011.522	1227.201	320.506	1044.279	1257.451	461.894	1250.811	1233.566	483.635	1250.452	1141.783	558.366	1018.978	1036.181	299.684	1390.009	1112.763	497.208	940.760	731.590	67.248	1301.772	822.516	371.075	848.926	882.107	105.271	1087.268	908.022	174.598	843.295	1532.240	221.137	1009.218	798.993	443.878	588.094	934.016	546.431	1407.930	596.589
17	0.17000	416.817	1011.880	1227.190	320.576	1044.540	1257.466	461.815	1251.169	1233.513	483.688	1250.772	1141.821	558.220	1019.105	1036.150	299.646	1390.409	1112.397	497.021	941.149	731.461	67.418	1303.615	821.800	370.845	849.281	881.907	104.841	1088.672	906.588	176.520	843.076	1529.682	220.381	1010.920	796.700	443.555	588.436	933.659	546.385	1407.946	596.538
18	0.18000	416.923	1012.225	1227.178	320.639	1044.798	1257.494	461.694	1251.470	1233.391	483.729	1251.098	1141.889	558.066	1019.211	1036.110	299.537	1390.754	1112.016	496.829	941.517	731.325	67.559	1305.374	821.156	370.625	849.615	881.719	104.433	1090.017	905.265	178.579	842.921	1527.091	219.636	1012.568	794.360	443.297	588.710	933.358	546.355	1407.947	596.482
19	0.19000	417.015	1012.554	1227.167	320.692	1045.052	1257.525	461.496	1251.691	1233.180	483.750	1251.412	1141.970	557.903	1019.299	1036.062	299.409	1391.077	1111.652	496.624	941.866	731.176	67.681	1307.047	820.573	370.406	849.930	881.529	104.049	1091.305	904.035	180.741	842.788	1524.499	218.894	1014.162	792.012	443.106	588.920	933.089	546.334	1407.938	596.421
20	0.20000	417.086	1012.869	1227.170	320.734	1045.297	1257.555	461.186	1251.814	1232.863	483.744	1251.697	1142.040	557.734	1019.374	1036.008	299.324	1391.417	1111.340	496.406	942.194	731.019	67.791	1308.630	820.031	370.181	850.221	881.331	103.690	1092.538	902.870	182.986	842.649	1521.954	218.141	1015.698	789.711	442.963	589.089	932.825	546.316	1407.926	596.358
21	0.21000	417.131	1013.173	1227.200	320.764	1045.529	1257.580	460.763	1251.840	1232.450	483.718	1251.937	1142.083	557.563	1019.440	1035.952	299.305	1391.787	1111.094	496.173	942.504	730.858	67.896	1310.126	819.517	369.945	850.488	881.129	103.354	1093.718	901.746	185.313	842.487	1519.508	217.367	1017.166	787.508	442.826	589.264	932.541	546.297	1407.915	596.293
22	0.22000	417.149	1013.465	1227.250	320.781	1045.744	1257.599	460.285	1251.811	1232.006	483.679	1252.132	1142.097	557.395	1019.506	1035.899	299.319	1392.160	1110.900	495.930	942.801	730.699	67.998	1311.541	819.020	369.695	850.728	880.926	103.033	1094.843	900.639	187.730	842.288	1517.199	216.567	1018.555	785.442	442.652	589.485	932.223	546.273	1407.910	596.233
23	0.23000	417.142	1013.736	1227.300	320.783	1045.941	1257.612	459.844	1251.788	1231.621	483.635	1252.290	1142.086	557.231	1019.573	1035.853	299.328	1392.505	1110.735	495.684	943.092	730.549	68.098	1312.889	818.537	369.434	850.947	880.727	102.718	1095.912	899.529	190.239	842.047	1515.050	215.740	1019.863	783.531	442.420	589.755	931.867	546.243	1407.910	596.178
24	0.24000	417.116	1013.980	1227.331	320.769	1046.120	1257.617	459.504	1251.816	1231.356	483.589	1252.421	1142.061	557.070	1019.642	1035.813	299.342	1392.813	1110.585	495.441	943.383	730.407	68.193	1314.183	818.065	369.164	851.156	880.530	102.398	1096.924	898.413	192.821	841.781	1513.056	214.895	1021.091	781.771	442.140	590.039	931.484	546.206	1407.915	596.131
25	0.25000	417.074	1014.198	1227.344	320.739	1046.283	1257.615	459.272	1251.901	1231.213	483.544	1252.535	1142.029	556.910	1019.710	1035.781	299.390	1393.100	1110.449	495.211	943.679	730.274	68.281	1315.426	817.596	368.892	851.369	880.328	102.065	1097.880	897.298	195.434	841.532	1511.196	214.039	1022.240	780.141	441.827	590.304	931.086	546.162	1407.924	596.091
26	0.26000	417.025	1014.394	1227.346	320.696	1046.432	1257.604	459.120	1252.031	1231.158	483.497	1252.638	1141.992	556.743	1019.774	1035.753	299.481	1393.382	1110.322	494.998	943.979	730.146	68.362	1316.618	817.126	368.619	851.593	880.114	101.718	1098.782	896.206	198.034	841.339	1509.436	213.178	1023.318	778.608	441.492	590.541	930.681	546.113	1407.935	596.055
27	0.27000	416.979	1014.571	1227.346	320.648	1046.567	1257.585	459.007	1252.187	1231.152	483.444	1252.735	1141.952	556.564	1019.832	1035.724	299.597	1393.669	1110.200	494.805	944.281	730.019	68.439	1317.753	816.651	368.348	851.831	879.884	101.363	1099.630	895.159	200.590	841.230	1507.747	212.312	1024.329	777.140	441.141	590.756	930.271	546.062	1407.946	596.018
28	0.28000	416.946	1014.735	1227.348	320.606	1046.690	1257.556	458.898	1252.359	1231.166	483.382	1252.829	1141.912	556.367	1019.882	1035.692	299.704	1393.960	1110.074	494.627	944.585	729.889	68.509	1318.827	816.175	368.080	852.079	879.636	101.010	1100.428	894.174	203.090	841.211	1506.110	211.437	1025.281	775.718	440.776	590.962	929.856	546.014	1407.955	595.978
29	0.29000	416.937	1014.890	1227.351	320.585	1046.799	1257.521	458.772	1252.545	1231.181	483.308	1252.923	1141.874	556.147	1019.924	1035.655	299.755	1394.240	1109.944	494.454	944.889	729.753	68.569	1319.836	815.709	367.810	852.335	879.372	100.668	1101.178	893.261	205.529	841.273	1504.524	210.555	1026.176	774.335	440.400	591.167	929.433	545.971	1407.963	595.933
30	0.30000	416.963	1015.039	1227.351	320.594	1046.890	1257.481	458.619	1252.749	1231.191	483.218	1253.017	1141.841	555.900	1019.958	1035.615	299.711	1394.490	1109.810	494.278	945.195	729.608	68.610	1320.782	815.267	367.533	852.600	879.095	100.346	1101.888	892.423	207.910	841.397	1503.001	209.674	1027.015	772.996	440.013	591.379	929.000	545.935	1407.972	595.884
31	0.31000	417.029	1015.189	1227.345	320.640	1046.960	1257.445	458.437	1252.974	1231.188	483.112	1253.113	1141.816	555.629	1019.985	1035.573	299.559	1394.702	1109.683	494.089	945.503	729.454	68.625	1321.671	814.865	367.244	852.877	878.812	100.045	1102.567	891.657	210.237	841.557	1501.550	208.805	1027.792	771.709	439.617	591.598	928.554	545.904	1407.981	595.831
32	0.32000	417.136	1015.341	1227.330	320.721	1047.009	1257.422	458.228	1253.222	1231.165	482.990	1253.209	1141.795	555.338	1020.009	1035.530	299.322	1394.885	1109.569	493.883	945.814	729.295	68.611	1322.513	814.514	366.941	853.164	878.537	99.767	1103.221	890.956	212.514	841.730	1500.173	207.958	1028.503	770.482	439.213	591.826	928.093	545.877	1407.991	595.779
33	0.33000	417.279	1015.499	1227.308	320.830	1047.040	1257.419	457.995	1253.490	1231.120	482.853	1253.304	1141.776	555.034	1020.035	1035.488	299.042	1395.053	1109.470	493.659	946.126	729.137	68.567	1323.318	814.214	366.626	853.455	878.283	99.504	1103.858	890.316	214.751	841.895	1498.864	207.134	1029.155	769.320	438.808	592.058	927.620	545.852	1408.000	595.729
34	0.34000	417.447	1015.663	1227.280	320.954	1047.060	1257.443	457.750	1253.772	1231.060	482.702	1253.399	1141.758	554.728	1020.067	1035.445	298.752	1395.215	1109.378	493.418	946.438	728.983	68.497	1324.093	813.957	366.304	853.739	878.055	99.248	1104.481	889.733	216.952	842.034	1497.608	206.327	1029.763	768.224	438.413	592.289	927.145	545.823	1408.009	595.684
35	0.35000	417.627	1015.835	1227.246	321.078	1047.080	1257.497	457.505	1254.059	1230.996	482.542	1253.496	1141.738	554.430	1020.107	1035.404	298.472	1395.378	1109.281	493.161	946.748	728.838	68.407	1324.838	813.727	365.977	854.007	877.853	98.989	1105.092	889.198	219.124	842.130	1496.388	205.524	1030.348	767.191	438.036	592.515	926.681	545.789	1408.016	595.645
36	0.36000	417.801	1016.017	1227.211	321.189	1047.111	1257.578	457.272	1254.342	1230.939	482.376	1253.597	1141.716	554.146	1020.157	1035.367	298.225	1395.553	1109.176	492.891	947.054	728.702	68.304	1325.555	813.510	365.649	854.258	877.668	98.719	1105.691	888.705	221.268	842.173	1495.184	204.707	1030.929	766.210	437.683	592.728	926.239	545.745	1408.021	595.614
37	0.37000	417.950	1016.208	1227.189	321.276	1047.160	1257.678	457.054	1254.613	1230.896	482.208	1253.706	1141.692	553.879	1020.217	1035.336	298.043	1395.753	1109.062	492.611	947.354	728.575	68.195	1326.245	813.293	365.319	854.499	877.489	98.428	1106.278	888.245	223.379	842.157	1493.976	203.859	1031.527	765.264	437.353	592.929	925.822	545.694	1408.025	595.591
38	0.38000	418.058	1016.407	1227.196	321.334	1047.233	1257.787	456.856	1254.871	1230.870	482.038	1253.824	1141.665	553.624	1020.285	1035.315	297.943	1395.988	1108.944	492.326	947.653	728.456	68.082	1326.918	813.075	364.986	854.733	877.306	98.109	1106.854	887.814	225.451	842.081	1492.744	202.968	1032.154	764.333	437.031	593.118	925.426	545.636	1408.028	595.576
39	0.39000	418.120	1016.611	1227.235	321.362	1047.332	1257.894	456.674	1255.116	1230.862	481.865	1253.952	1141.637	553.371	1020.362	1035.305	297.912	1396.254	1108.828	492.038	947.953	728.347	67.963	1327.585	812.861	364.651	854.965	877.118	97.757	1107.424	887.410	227.483	841.944	1491.481	202.030	1032.817	763.407	436.695	593.301	925.041	545.577	1408.031	595.566
40	0.40000	418.142	1016.820	1227.298	321.364	1047.456	1257.997	456.497	1255.350	1230.864	481.687	1254.089	1141.609	553.109	1020.447	1035.305	297.920	1396.536	1108.719	491.749	948.261	728.249	67.831	1328.257	812.664	364.318	855.196	876.929	97.372	1107.993	887.032	229.487	841.726	1490.188	201.043	1033.513	762.486	436.328	593.487	924.658	545.518	1408.032	595.560
41	0.41000	418.144	1017.035	1227.370	321.348	1047.602	1258.095	456.315	1255.579	1230.868	481.500	1254.234	1141.586	552.829	1020.536	1035.314	297.930	1396.816	1108.622	491.459	948.578	728.162	67.676	1328.946	812.500	363.988	855.426	876.744	96.957	1108.565	886.673	231.492	841.396	1488.871	200.012	1034.229	761.578	435.921	593.680	924.273	545.461	1408.030	595.555
