NO_OF_FRAMES	173
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	519.179	1054.776	1238.810	412.666	1037.441	1253.471	444.546	1287.902	1221.542	499.577	1301.907	1128.453	641.509	1086.105	1029.805	273.193	1383.139	1095.530	642.394	1012.642	706.473	84.637	1199.833	835.097	547.879	836.929	813.944	217.523	1036.942	931.167	705.890	948.413	1410.758	271.157	965.626	795.472	666.133	661.920	863.992	544.800	1449.889	590.652
2	0.02000	519.744	1054.212	1238.642	413.264	1036.706	1253.362	444.778	1287.235	1221.455	499.761	1301.279	1128.414	641.958	1085.764	1029.560	273.286	1382.148	1095.802	642.770	1012.580	706.163	84.646	1198.588	835.566	548.561	837.287	813.209	217.982	1035.762	931.227	707.381	949.196	1409.691	271.532	964.646	795.137	667.147	661.813	863.264	544.762	1449.816	590.712
3	0.03000	520.303	1053.645	1238.489	413.856	1035.954	1253.255	444.979	1286.558	1221.343	499.941	1300.634	1128.379	642.390	1085.412	1029.305	273.367	1381.157	1096.047	643.137	1012.548	705.811	84.659	1197.420	835.955	549.274	837.668	812.446	218.418	1034.561	931.157	708.731	949.928	1408.658	271.916	963.723	794.750	668.227	661.723	862.494	544.727	1449.738	590.772
4	0.04000	520.868	1053.078	1238.336	414.454	1035.181	1253.140	445.140	1285.867	1221.224	500.116	1299.975	1128.348	642.806	1085.048	1029.036	273.443	1380.170	1096.275	643.501	1012.547	705.423	84.737	1196.400	836.260	550.016	838.026	811.673	218.839	1033.350	930.984	709.957	950.610	1407.656	272.307	962.822	794.328	669.351	661.643	861.694	544.696	1449.658	590.834
5	0.05000	521.447	1052.515	1238.171	415.064	1034.378	1253.006	445.260	1285.153	1221.112	500.284	1299.304	1128.325	643.209	1084.675	1028.752	273.518	1379.186	1096.489	643.874	1012.575	705.015	84.904	1195.554	836.484	550.784	838.321	810.905	219.252	1032.177	930.746	711.069	951.237	1406.683	272.711	961.887	793.899	670.500	661.567	860.877	544.671	1449.580	590.902
6	0.06000	522.039	1051.951	1237.984	415.686	1033.544	1252.844	445.342	1284.411	1221.020	500.442	1298.623	1128.311	643.603	1084.299	1028.459	273.589	1378.202	1096.692	644.272	1012.623	704.604	85.146	1194.851	836.641	551.580	838.534	810.138	219.665	1031.105	930.484	712.074	951.808	1405.744	273.144	960.850	793.494	671.654	661.491	860.056	544.649	1449.506	590.981
7	0.07000	522.638	1051.378	1237.773	416.314	1032.681	1252.642	445.394	1283.640	1220.952	500.589	1297.938	1128.307	643.995	1083.932	1028.160	273.655	1377.217	1096.882	644.709	1012.678	704.206	85.429	1194.245	836.746	552.402	838.667	809.365	220.082	1030.164	930.222	712.978	952.322	1404.845	273.635	959.682	793.128	672.801	661.411	859.241	544.632	1449.441	591.072
8	0.08000	523.231	1050.781	1237.539	416.938	1031.793	1252.390	445.426	1282.841	1220.912	500.728	1297.250	1128.310	644.392	1083.581	1027.860	273.713	1376.232	1097.057	645.187	1012.737	703.828	85.722	1193.693	836.809	553.243	838.744	808.587	220.503	1029.337	929.956	713.793	952.785	1403.991	274.203	958.459	792.775	673.936	661.332	858.424	544.616	1449.385	591.174
9	0.09000	523.805	1050.149	1237.277	417.548	1030.885	1252.079	445.453	1282.018	1220.899	500.862	1296.562	1128.316	644.796	1083.247	1027.560	273.762	1375.247	1097.220	645.701	1012.798	703.465	85.995	1193.142	836.845	554.086	838.787	807.812	220.918	1028.580	929.670	714.537	953.200	1403.176	274.850	957.387	792.360	675.056	661.258	857.593	544.601	1449.341	591.281
10	0.10000	524.351	1049.475	1236.984	418.135	1029.965	1251.709	445.486	1281.176	1220.915	500.995	1295.874	1128.319	645.210	1082.925	1027.263	273.804	1374.264	1097.371	646.240	1012.865	703.108	86.224	1192.552	836.863	554.914	838.818	807.054	221.319	1027.857	929.352	715.233	953.570	1402.389	275.563	956.716	791.800	676.162	661.189	856.735	544.584	1449.310	591.390
