NO_OF_FRAMES	156
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	491.358	1119.166	1255.558	385.130	1101.969	1257.298	417.103	1350.864	1227.672	488.861	1365.414	1129.667	630.304	1146.318	1044.667	265.675	1466.444	1076.980	627.653	1067.289	715.110	83.500	1255.860	820.997	527.987	899.412	825.094	194.863	1087.313	938.120	589.940	981.220	1493.122	273.170	1024.036	810.866	645.421	722.188	868.906	541.846	1480.309	593.868
2	0.02000	490.977	1118.911	1255.479	384.786	1101.599	1257.095	416.717	1350.088	1227.309	488.534	1365.174	1129.694	629.979	1146.114	1044.578	265.396	1466.122	1077.194	626.993	1067.432	714.784	82.917	1255.730	821.329	527.314	899.538	824.555	195.050	1087.101	937.681	592.926	981.868	1490.298	272.935	1024.476	809.571	644.828	722.023	868.247	542.595	1479.606	593.943
3	0.03000	490.615	1118.661	1255.394	384.457	1101.224	1256.880	416.318	1349.408	1227.023	488.210	1364.935	1129.722	629.671	1145.920	1044.492	265.118	1465.812	1077.400	626.372	1067.580	714.482	82.353	1255.626	821.630	526.680	899.669	824.043	195.221	1086.905	937.222	595.881	982.461	1487.475	272.682	1024.910	808.280	644.268	721.877	867.562	543.178	1479.037	594.018
4	0.04000	490.290	1118.417	1255.295	384.155	1100.837	1256.647	415.897	1348.860	1226.847	487.890	1364.694	1129.753	629.387	1145.737	1044.412	264.841	1465.523	1077.591	625.824	1067.738	714.220	81.820	1255.576	821.876	526.119	899.806	823.583	195.359	1086.740	936.726	598.814	982.959	1484.620	272.390	1025.339	806.986	643.767	721.770	866.820	543.526	1478.655	594.097
5	0.05000	490.014	1118.179	1255.177	383.888	1100.434	1256.398	415.458	1348.424	1226.766	487.573	1364.449	1129.786	629.126	1145.567	1044.337	264.568	1465.255	1077.759	625.367	1067.907	714.008	81.321	1255.602	822.046	525.647	899.945	823.193	195.448	1086.618	936.186	601.733	983.343	1481.711	272.049	1025.769	805.680	643.337	721.712	866.005	543.666	1478.437	594.181
6	0.06000	489.798	1117.949	1255.035	383.661	1100.017	1256.143	415.010	1348.065	1226.751	487.258	1364.201	1129.823	628.880	1145.408	1044.270	264.297	1465.008	1077.896	625.007	1068.091	713.844	80.853	1255.709	822.127	525.267	900.087	822.878	195.481	1086.548	935.600	604.644	983.612	1478.736	271.652	1026.207	804.359	642.985	721.705	865.129	543.667	1478.329	594.275
7	0.07000	489.642	1117.723	1254.868	383.474	1099.588	1255.893	414.563	1347.755	1226.780	486.943	1363.951	1129.864	628.644	1145.255	1044.213	264.033	1464.783	1077.999	624.743	1068.293	713.719	80.415	1255.893	822.112	524.974	900.242	822.624	195.458	1086.533	934.969	607.550	983.776	1475.688	271.198	1026.655	803.021	642.717	721.748	864.241	543.591	1478.282	594.380
8	0.08000	489.533	1117.496	1254.680	383.322	1099.149	1255.651	414.119	1347.485	1226.848	486.628	1363.699	1129.909	628.411	1145.105	1044.166	263.780	1464.584	1078.067	624.569	1068.513	713.618	80.013	1256.144	821.997	524.762	900.416	822.402	195.389	1086.570	934.293	610.450	983.854	1472.574	270.692	1027.106	801.668	642.538	721.836	863.404	543.478	1478.268	594.495
9	0.09000	489.444	1117.251	1254.476	383.191	1098.706	1255.415	413.678	1347.257	1226.966	486.317	1363.446	1129.956	628.184	1144.954	1044.131	263.542	1464.411	1078.103	624.478	1068.754	713.530	79.653	1256.446	821.789	524.631	900.612	822.181	195.283	1086.652	933.575	613.343	983.870	1469.407	270.140	1027.548	800.309	642.456	721.961	862.654	543.342	1478.280	594.618
10	0.10000	489.330	1116.960	1254.267	383.068	1098.263	1255.177	413.243	1347.067	1227.142	486.013	1363.193	1130.006	627.969	1144.802	1044.110	263.323	1464.259	1078.109	624.459	1069.016	713.444	79.340	1256.784	821.495	524.578	900.826	821.925	195.150	1086.776	932.817	616.228	983.857	1466.210	269.550	1027.968	798.959	642.479	722.116	861.988	543.170	1478.326	594.742
