NO_OF_FRAMES	83
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	390.256	1049.483	1239.034	289.616	1072.196	1258.883	404.859	1290.674	1220.424	450.596	1269.298	1135.975	503.261	1029.610	1032.471	286.157	1423.957	1103.780	438.628	972.271	722.714	44.292	1368.339	816.236	298.446	881.426	861.058	62.979	1149.965	897.770	273.261	843.652	1463.240	146.215	1079.830	759.827	339.824	614.877	904.276	547.110	1398.616	588.232
2	0.02000	390.525	1049.825	1239.433	289.778	1072.517	1259.234	404.662	1290.998	1220.196	450.516	1269.493	1135.988	503.416	1029.797	1032.559	285.842	1424.031	1103.688	439.079	972.565	722.733	44.162	1368.653	815.919	298.846	881.560	860.998	62.883	1150.124	897.129	274.847	843.150	1461.681	145.851	1080.108	758.813	340.452	614.994	904.141	547.104	1398.626	588.219
3	0.03000	390.812	1050.148	1239.867	289.840	1072.988	1259.642	404.455	1291.325	1219.961	450.431	1269.691	1136.000	503.564	1029.995	1032.664	285.593	1424.073	1103.554	439.556	972.860	722.765	44.008	1368.938	815.626	299.277	881.682	860.944	62.769	1150.277	896.539	276.431	842.605	1460.021	145.369	1080.367	757.774	341.117	615.114	903.991	547.092	1398.636	588.209
4	0.04000	391.130	1050.461	1240.318	289.815	1073.579	1260.089	404.240	1291.663	1219.725	450.339	1269.893	1136.009	503.707	1030.197	1032.782	285.409	1424.079	1103.380	440.048	973.150	722.803	43.828	1369.189	815.370	299.742	881.779	860.890	62.630	1150.414	895.994	278.034	842.030	1458.242	144.758	1080.626	756.695	341.798	615.247	903.809	547.075	1398.650	588.205
5	0.05000	391.491	1050.780	1240.768	289.747	1074.225	1260.542	404.017	1292.017	1219.493	450.239	1270.099	1136.017	503.849	1030.397	1032.910	285.268	1424.056	1103.186	440.551	973.428	722.842	43.616	1369.406	815.163	300.244	881.843	860.826	62.464	1150.526	895.482	279.686	841.435	1456.341	144.017	1080.888	755.562	342.494	615.382	903.594	547.051	1398.668	588.207
6	0.06000	391.903	1051.119	1241.215	289.697	1074.837	1260.977	403.780	1292.385	1219.264	450.136	1270.305	1136.024	503.991	1030.587	1033.042	285.142	1424.021	1103.002	441.069	973.691	722.883	43.366	1369.594	815.015	300.779	881.867	860.740	62.273	1150.607	894.995	281.420	840.831	1454.325	143.157	1081.147	754.374	343.247	615.472	903.365	547.020	1398.692	588.214
7	0.07000	392.368	1051.485	1241.677	289.731	1075.337	1261.386	403.525	1292.762	1219.038	450.033	1270.510	1136.031	504.135	1030.761	1033.179	285.018	1423.994	1102.850	441.611	973.937	722.926	43.072	1369.765	814.932	301.343	881.857	860.629	62.066	1150.657	894.534	283.268	840.221	1452.209	142.187	1081.392	753.136	344.105	615.475	903.150	546.985	1398.722	588.229
8	0.08000	392.881	1051.870	1242.189	289.892	1075.681	1261.785	403.245	1293.141	1218.813	449.936	1270.711	1136.042	504.285	1030.919	1033.327	284.906	1423.991	1102.750	442.182	974.162	722.972	42.726	1369.934	814.920	301.929	881.821	860.508	61.849	1150.679	894.104	285.259	839.610	1450.008	141.120	1081.612	751.860	345.089	615.381	902.967	546.946	1398.756	588.249
9	0.09000	393.435	1052.258	1242.791	290.182	1075.874	1262.209	402.940	1293.514	1218.586	449.851	1270.905	1136.058	504.445	1031.063	1033.491	284.824	1424.021	1102.716	442.782	974.364	723.023	42.321	1370.109	814.985	302.536	881.773	860.401	61.628	1150.683	893.712	287.418	838.998	1447.737	139.969	1081.803	750.558	346.176	615.226	902.819	546.903	1398.797	588.277
10	0.10000	394.022	1052.636	1243.514	290.565	1075.965	1262.703	402.612	1293.877	1218.352	449.782	1271.093	1136.082	504.624	1031.199	1033.673	284.789	1424.082	1102.766	443.410	974.540	723.083	41.853	1370.293	815.130	303.170	881.722	860.342	61.404	1150.675	893.360	289.771	838.391	1445.402	138.748	1081.968	749.247	347.317	615.062	902.697	546.858	1398.843	588.310
