NO_OF_FRAMES	284
NO_OF_CAMERAS	0
NO_OF_MARKERS	64
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_SACR	S01_LASI	S01_RASI	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S02_LFHD	S02_RFHD	S02_OZ	S02_C7	S02_LSHO	S02_RSHO	S02_LELB	S02_RELB	S02_LWRB	S02_RWRB	S02_SACR	S02_LASI	S02_RASI	S02_IVIBoUp	S02_IVIBoLo	S02_IVISc	S03_LFHD	S03_RFHD	S03_OZ	S03_C7	S03_LSHO	S03_RSHO	S03_LELB	S03_RELB	S03_LWRB	S03_RWRB	S03_SACR	S03_LASI	S03_RASI	S03_IVIBoUp	S03_IVIBoLo	S03_IVISc	S04_LFHD	S04_RFHD	S04_OZ	S04_C7	S04_LSHO	S04_RSHO	S04_LELB	S04_RELB	S04_LWRB	S04_RWRB	S04_SACR	S04_LASI	S04_RASI	S04_IVIBoUp	S04_IVIBoLo	S04_IVISc	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_SACR X	S01_SACR Y	S01_SACR Z	S01_LASI X	S01_LASI Y	S01_LASI Z	S01_RASI X	S01_RASI Y	S01_RASI Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S02_LFHD X	S02_LFHD Y	S02_LFHD Z	S02_RFHD X	S02_RFHD Y	S02_RFHD Z	S02_OZ X	S02_OZ Y	S02_OZ Z	S02_C7 X	S02_C7 Y	S02_C7 Z	S02_LSHO X	S02_LSHO Y	S02_LSHO Z	S02_RSHO X	S02_RSHO Y	S02_RSHO Z	S02_LELB X	S02_LELB Y	S02_LELB Z	S02_RELB X	S02_RELB Y	S02_RELB Z	S02_LWRB X	S02_LWRB Y	S02_LWRB Z	S02_RWRB X	S02_RWRB Y	S02_RWRB Z	S02_SACR X	S02_SACR Y	S02_SACR Z	S02_LASI X	S02_LASI Y	S02_LASI Z	S02_RASI X	S02_RASI Y	S02_RASI Z	S02_IVIBoUp X	S02_IVIBoUp Y	S02_IVIBoUp Z	S02_IVIBoLo X	S02_IVIBoLo Y	S02_IVIBoLo Z	S02_IVISc X	S02_IVISc Y	S02_IVISc Z	S03_LFHD X	S03_LFHD Y	S03_LFHD Z	S03_RFHD X	S03_RFHD Y	S03_RFHD Z	S03_OZ X	S03_OZ Y	S03_OZ Z	S03_C7 X	S03_C7 Y	S03_C7 Z	S03_LSHO X	S03_LSHO Y	S03_LSHO Z	S03_RSHO X	S03_RSHO Y	S03_RSHO Z	S03_LELB X	S03_LELB Y	S03_LELB Z	S03_RELB X	S03_RELB Y	S03_RELB Z	S03_LWRB X	S03_LWRB Y	S03_LWRB Z	S03_RWRB X	S03_RWRB Y	S03_RWRB Z	S03_SACR X	S03_SACR Y	S03_SACR Z	S03_LASI X	S03_LASI Y	S03_LASI Z	S03_RASI X	S03_RASI Y	S03_RASI Z	S03_IVIBoUp X	S03_IVIBoUp Y	S03_IVIBoUp Z	S03_IVIBoLo X	S03_IVIBoLo Y	S03_IVIBoLo Z	S03_IVISc X	S03_IVISc Y	S03_IVISc Z	S04_LFHD X	S04_LFHD Y	S04_LFHD Z	S04_RFHD X	S04_RFHD Y	S04_RFHD Z	S04_OZ X	S04_OZ Y	S04_OZ Z	S04_C7 X	S04_C7 Y	S04_C7 Z	S04_LSHO X	S04_LSHO Y	S04_LSHO Z	S04_RSHO X	S04_RSHO Y	S04_RSHO Z	S04_LELB X	S04_LELB Y	S04_LELB Z	S04_RELB X	S04_RELB Y	S04_RELB Z	S04_LWRB X	S04_LWRB Y	S04_LWRB Z	S04_RWRB X	S04_RWRB Y	S04_RWRB Z	S04_SACR X	S04_SACR Y	S04_SACR Z	S04_LASI X	S04_LASI Y	S04_LASI Z	S04_RASI X	S04_RASI Y	S04_RASI Z	S04_IVIBoUp X	S04_IVIBoUp Y	S04_IVIBoUp Z	S04_IVIBoLo X	S04_IVIBoLo Y	S04_IVIBoLo Z	S04_IVISc X	S04_IVISc Y	S04_IVISc Z	
1	0.01000	523.944	1115.732	1255.906	421.480	1086.639	1263.676	423.187	1337.334	1232.247	487.472	1352.502	1129.423	659.598	1154.118	1054.785	253.394	1409.928	1078.469	656.589	1037.570	738.694	97.120	1215.244	800.930	582.658	872.204	865.698	226.757	1047.586	898.341	525.034	1458.774	594.262	609.732	1209.773	607.617	280.635	1358.706	620.571	567.381	936.881	1484.777	326.733	1008.057	774.940	727.890	712.350	930.246	1565.726	590.859	1237.429	1561.327	706.355	1223.961	1783.745	652.381	1223.795	1821.732	646.201	1074.204	1672.053	446.190	1007.672	1748.542	876.049	1056.140	1509.661	375.965	739.260	1548.426	940.997	793.434	1344.428	389.873	872.854	1438.331	780.298	894.813	1872.517	677.714	584.869	1685.857	506.169	600.197	1689.139	864.844	602.644	1537.772	453.567	1482.987	1416.987	651.928	768.082	1226.159	238.399	975.726	1576.591	-644.968	1235.338	1644.888	-538.841	1255.089	1807.989	-697.393	1227.032	1817.157	-748.308	1095.463	1565.851	-764.850	1024.276	1933.113	-500.800	1083.341	1454.193	-660.409	732.413	1820.734	-298.555	888.616	1278.122	-544.517	821.838	1606.246	-337.373	944.379	1878.259	-739.304	616.469	1634.044	-759.504	611.526	1857.321	-486.150	608.658	1251.932	-648.203	1424.792	1547.798	-406.459	799.242	1032.390	-604.020	852.381	571.071	-1411.247	1216.903	755.691	-1400.754	1195.690	655.919	-1618.426	1227.538	698.215	-1659.068	1086.077	441.731	-1614.243	1034.394	895.152	-1485.413	988.528	314.224	-1581.863	722.009	965.695	-1333.181	682.287	403.316	-1436.185	894.298	820.529	-1195.027	802.247	716.927	-1829.005	538.605	485.588	-1736.955	571.910	895.856	-1627.296	568.240	123.038	-1080.467	855.387	815.617	-1120.256	737.920	   NaN	   NaN	   NaN
2	0.02000	524.008	1115.676	1255.739	421.556	1086.606	1263.547	423.300	1337.318	1232.251	487.494	1352.544	1129.423	659.582	1154.140	1054.720	253.436	1410.013	1078.461	656.622	1037.749	738.547	97.100	1215.540	800.778	582.670	872.346	865.455	226.670	1047.792	898.150	525.149	1458.672	594.124	609.711	1209.792	607.612	280.645	1358.732	620.553	568.572	936.675	1484.120	326.476	1008.086	774.796	727.888	712.460	929.957	1565.588	590.827	1237.396	1561.251	706.313	1223.898	1783.643	652.307	1223.788	1821.655	646.047	1074.192	1671.928	446.073	1007.616	1748.635	875.811	1056.177	1509.637	375.888	739.116	1548.361	941.058	793.544	1344.359	389.836	872.640	1438.107	780.466	894.963	1872.499	677.698	584.884	1685.833	506.155	600.200	1689.103	864.828	602.663	1537.245	452.896	1482.805	1416.545	652.141	768.117	1225.960	238.440	975.503	1576.513	-645.044	1235.276	1644.747	-538.874	1255.004	1807.968	-697.310	1227.045	1817.157	-748.300	1095.448	1565.884	-764.911	1024.215	1933.041	-500.749	1083.339	1454.273	-660.536	732.253	1820.572	-298.552	888.587	1278.137	-544.713	821.650	1606.118	-337.485	944.338	1878.265	-739.289	616.451	1634.063	-759.502	611.513	1857.346	-486.141	608.655	1251.805	-648.766	1424.507	1547.703	-406.526	799.178	1032.416	-604.304	852.107	571.126	-1411.234	1216.922	755.763	-1400.748	1195.721	655.958	-1618.412	1227.541	698.250	-1659.039	1086.092	441.768	-1614.209	1034.414	895.182	-1485.408	988.519	314.289	-1581.886	722.009	965.747	-1333.206	682.265	403.318	-1436.170	894.296	820.575	-1195.026	802.203	716.936	-1828.991	538.563	485.616	-1736.946	571.914	895.856	-1627.301	568.233	123.122	-1080.206	855.468	815.659	-1120.294	737.842	   NaN	   NaN	   NaN
3	0.03000	524.070	1115.617	1255.569	421.628	1086.570	1263.417	423.417	1337.304	1232.266	487.516	1352.585	1129.421	659.568	1154.160	1054.655	253.478	1410.094	1078.450	656.649	1037.924	738.406	97.088	1215.830	800.627	582.681	872.483	865.220	226.580	1047.994	897.971	525.238	1458.607	594.010	609.696	1209.812	607.608	280.653	1358.760	620.539	569.779	936.500	1483.437	326.226	1008.117	774.613	727.883	712.570	929.670	1565.454	590.794	1237.362	1561.175	706.269	1223.836	1783.543	652.231	1223.779	1821.577	645.895	1074.180	1671.802	445.957	1007.557	1748.733	875.562	1056.207	1509.612	375.815	738.971	1548.300	941.123	793.655	1344.291	389.801	872.429	1437.890	780.637	895.111	1872.480	677.684	584.897	1685.809	506.140	600.201	1689.070	864.810	602.680	1536.730	452.211	1482.618	1416.109	652.358	768.156	1225.755	238.488	975.273	1576.437	-645.132	1235.223	1644.597	-538.910	1254.920	1807.952	-697.213	1227.056	1817.155	-748.290	1095.434	1565.916	-764.974	1024.153	1932.966	-500.699	1083.337	1454.357	-660.660	732.095	1820.411	-298.550	888.559	1278.154	-544.902	821.470	1605.994	-337.599	944.297	1878.272	-739.277	616.433	1634.079	-759.504	611.501	1857.369	-486.134	608.652	1251.662	-649.308	1424.229	1547.614	-406.600	799.117	1032.443	-604.581	851.835	571.180	-1411.219	1216.933	755.830	-1400.744	1195.743	655.996	-1618.400	1227.540	698.286	-1659.012	1086.102	441.806	-1614.176	1034.431	895.214	-1485.405	988.509	314.352	-1581.907	722.007	965.799	-1333.226	682.243	403.327	-1436.161	894.292	820.619	-1195.026	802.164	716.945	-1828.982	538.527	485.643	-1736.940	571.915	895.856	-1627.306	568.226	123.202	-1079.947	855.551	815.697	-1120.329	737.775	   NaN	   NaN	   NaN
4	0.04000	524.127	1115.550	1255.396	421.694	1086.530	1263.285	423.543	1337.291	1232.299	487.539	1352.623	1129.420	659.557	1154.180	1054.586	253.520	1410.172	1078.436	656.668	1038.093	738.276	97.086	1216.113	800.478	582.690	872.613	864.999	226.486	1048.187	897.811	525.286	1458.594	593.936	609.688	1209.832	607.606	280.660	1358.790	620.532	571.029	936.388	1482.705	325.996	1008.146	774.366	727.871	712.678	929.387	1565.324	590.756	1237.328	1561.095	706.222	1223.775	1783.446	652.150	1223.766	1821.497	645.748	1074.167	1671.674	445.841	1007.493	1748.829	875.308	1056.231	1509.587	375.749	738.826	1548.243	941.199	793.770	1344.224	389.766	872.221	1437.683	780.814	895.255	1872.461	677.673	584.906	1685.786	506.123	600.200	1689.040	864.787	602.695	1536.228	451.487	1482.418	1415.685	652.588	768.206	1225.541	238.550	975.029	1576.363	-645.238	1235.183	1644.431	-538.953	1254.835	1807.944	-697.093	1227.062	1817.148	-748.276	1095.422	1565.945	-765.045	1024.085	1932.886	-500.650	1083.336	1454.445	-660.781	731.944	1820.253	-298.550	888.530	1278.172	-545.085	821.298	1605.874	-337.718	944.256	1878.279	-739.266	616.417	1634.090	-759.511	611.491	1857.390	-486.127	608.648	1251.493	-649.812	1423.961	1547.538	-406.689	799.060	1032.469	-604.848	851.566	571.231	-1411.203	1216.930	755.890	-1400.740	1195.751	656.034	-1618.391	1227.531	698.323	-1658.988	1086.104	441.844	-1614.146	1034.439	895.246	-1485.400	988.495	314.409	-1581.927	722.003	965.851	-1333.235	682.220	403.348	-1436.160	894.285	820.662	-1195.025	802.132	716.954	-1828.980	538.498	485.668	-1736.940	571.910	895.856	-1627.311	568.218	123.275	-1079.691	855.640	815.729	-1120.358	737.725	   NaN	   NaN	   NaN
5	0.05000	524.178	1115.473	1255.223	421.749	1086.486	1263.155	423.681	1337.281	1232.351	487.566	1352.657	1129.417	659.554	1154.198	1054.514	253.562	1410.247	1078.418	656.678	1038.255	738.155	97.090	1216.389	800.334	582.696	872.739	864.788	226.391	1048.370	897.673	525.296	1458.623	593.904	609.689	1209.855	607.604	280.666	1358.823	620.533	572.332	936.357	1481.919	325.801	1008.162	774.051	727.845	712.783	929.109	1565.200	590.707	1237.288	1561.010	706.170	1223.714	1783.348	652.060	1223.750	1821.413	645.602	1074.151	1671.544	445.726	1007.424	1748.907	875.071	1056.252	1509.562	375.694	738.680	1548.194	941.287	793.895	1344.159	389.728	872.014	1437.488	780.993	895.392	1872.442	677.664	584.910	1685.767	506.107	600.195	1689.014	864.758	602.706	1535.737	450.706	1482.197	1415.273	652.845	768.271	1225.320	238.630	974.769	1576.291	-645.367	1235.158	1644.244	-539.005	1254.748	1807.943	-696.945	1227.063	1817.136	-748.260	1095.412	1565.970	-765.124	1024.011	1932.801	-500.600	1083.336	1454.535	-660.901	731.803	1820.096	-298.553	888.501	1278.193	-545.263	821.134	1605.757	-337.843	944.213	1878.287	-739.257	616.404	1634.096	-759.523	611.484	1857.409	-486.119	608.644	1251.294	-650.272	1423.706	1547.479	-406.801	799.008	1032.493	-605.104	851.307	571.278	-1411.190	1216.909	755.939	-1400.740	1195.741	656.073	-1618.383	1227.511	698.362	-1658.968	1086.095	441.884	-1614.119	1034.435	895.280	-1485.390	988.474	314.456	-1581.946	721.995	965.904	-1333.229	682.196	403.384	-1436.174	894.278	820.704	-1195.020	802.109	716.964	-1828.986	538.472	485.689	-1736.945	571.897	895.856	-1627.316	568.211	123.343	-1079.442	855.743	815.756	-1120.377	737.695	   NaN	   NaN	   NaN
6	0.06000	524.222	1115.387	1255.053	421.792	1086.443	1263.030	423.829	1337.273	1232.418	487.596	1352.687	1129.413	659.558	1154.216	1054.439	253.607	1410.319	1078.397	656.679	1038.413	738.039	97.096	1216.656	800.200	582.699	872.862	864.585	226.297	1048.539	897.550	525.280	1458.672	593.907	609.696	1209.881	607.601	280.671	1358.858	620.541	573.693	936.420	1481.092	325.654	1008.157	773.693	727.801	712.879	928.838	1565.083	590.643	1237.238	1560.921	706.109	1223.651	1783.246	651.958	1223.733	1821.326	645.459	1074.132	1671.412	445.611	1007.350	1748.956	874.870	1056.276	1509.538	375.655	738.531	1548.151	941.384	794.030	1344.096	389.683	871.809	1437.310	781.169	895.521	1872.425	677.656	584.910	1685.751	506.089	600.186	1688.990	864.725	602.715	1535.252	449.857	1481.952	1414.878	653.134	768.354	1225.097	238.723	974.496	1576.220	-645.516	1235.143	1644.038	-539.063	1254.658	1807.947	-696.775	1227.058	1817.119	-748.240	1095.405	1565.990	-765.212	1023.927	1932.710	-500.548	1083.338	1454.625	-661.022	731.669	1819.940	-298.559	888.476	1278.214	-545.439	820.972	1605.640	-337.974	944.168	1878.295	-739.250	616.392	1634.099	-759.540	611.476	1857.425	-486.110	608.640	1251.071	-650.682	1423.462	1547.439	-406.938	798.963	1032.515	-605.350	851.061	571.318	-1411.182	1216.874	755.976	-1400.741	1195.710	656.113	-1618.376	1227.478	698.404	-1658.954	1086.073	441.924	-1614.099	1034.417	895.310	-1485.375	988.444	314.493	-1581.962	721.985	965.955	-1333.206	682.173	403.433	-1436.201	894.270	820.745	-1195.011	802.096	716.972	-1828.996	538.445	485.704	-1736.955	571.875	895.856	-1627.321	568.204	123.407	-1079.209	855.866	815.782	-1120.382	737.682	   NaN	   NaN	   NaN
7	0.07000	524.259	1115.298	1254.891	421.825	1086.401	1262.914	423.980	1337.265	1232.491	487.631	1352.710	1129.409	659.569	1154.234	1054.363	253.655	1410.390	1078.372	656.671	1038.566	737.918	97.095	1216.916	800.082	582.700	872.984	864.385	226.212	1048.696	897.431	525.254	1458.726	593.928	609.710	1209.911	607.598	280.677	1358.894	620.554	575.109	936.577	1480.249	325.556	1008.137	773.334	727.741	712.965	928.570	1564.971	590.561	1237.171	1560.828	706.038	1223.584	1783.138	651.846	1223.718	1821.236	645.316	1074.111	1671.282	445.497	1007.272	1748.974	874.708	1056.306	1509.512	375.636	738.378	1548.115	941.488	794.171	1344.038	389.629	871.606	1437.148	781.335	895.642	1872.409	677.648	584.907	1685.740	506.071	600.175	1688.968	864.692	602.723	1534.767	448.934	1481.682	1414.509	653.453	768.448	1224.882	238.823	974.219	1576.150	-645.677	1235.131	1643.817	-539.123	1254.564	1807.952	-696.593	1227.053	1817.100	-748.220	1095.398	1566.005	-765.307	1023.838	1932.614	-500.495	1083.342	1454.712	-661.143	731.541	1819.785	-298.567	888.458	1278.232	-545.617	820.811	1605.520	-338.110	944.123	1878.301	-739.246	616.384	1634.103	-759.561	611.464	1857.436	-486.101	608.634	1250.835	-651.040	1423.234	1547.416	-407.101	798.925	1032.534	-605.589	850.828	571.351	-1411.179	1216.827	756.004	-1400.740	1195.661	656.157	-1618.369	1227.432	698.447	-1658.945	1086.039	441.964	-1614.088	1034.385	895.336	-1485.353	988.403	314.520	-1581.975	721.973	966.005	-1333.166	682.149	403.491	-1436.241	894.262	820.785	-1194.996	802.091	716.980	-1829.009	538.409	485.710	-1736.971	571.844	895.856	-1627.326	568.196	123.472	-1079.002	856.015	815.809	-1120.373	737.682	   NaN	   NaN	   NaN
8	0.08000	524.294	1115.211	1254.743	421.853	1086.362	1262.809	424.125	1337.256	1232.561	487.669	1352.729	1129.403	659.586	1154.255	1054.288	253.708	1410.462	1078.344	656.653	1038.719	737.786	97.082	1217.169	799.983	582.693	873.102	864.189	226.141	1048.845	897.305	525.230	1458.782	593.956	609.730	1209.941	607.594	280.688	1358.926	620.568	576.575	936.827	1479.424	325.498	1008.111	773.011	727.669	713.038	928.299	1564.864	590.457	1237.083	1560.730	705.957	1223.508	1783.024	651.723	1223.709	1821.145	645.174	1074.090	1671.155	445.387	1007.190	1748.968	874.577	1056.342	1509.486	375.636	738.220	1548.083	941.591	794.312	1343.986	389.571	871.409	1437.006	781.485	895.756	1872.397	677.639	584.902	1685.734	506.052	600.165	1688.949	864.663	602.732	1534.278	447.932	1481.392	1414.183	653.782	768.544	1224.679	238.917	973.946	1576.080	-645.842	1235.113	1643.590	-539.181	1254.464	1807.956	-696.412	1227.053	1817.080	-748.200	1095.392	1566.016	-765.405	1023.747	1932.517	-500.442	1083.348	1454.793	-661.265	731.417	1819.631	-298.576	888.449	1278.245	-545.797	820.648	1605.395	-338.250	944.079	1878.308	-739.245	616.377	1634.110	-759.583	611.447	1857.443	-486.094	608.628	1250.600	-651.344	1423.024	1547.406	-407.287	798.890	1032.550	-605.824	850.607	571.377	-1411.181	1216.776	756.023	-1400.732	1195.599	656.205	-1618.359	1227.377	698.493	-1658.940	1085.991	442.003	-1614.089	1034.340	895.357	-1485.327	988.352	314.536	-1581.985	721.959	966.051	-1333.111	682.127	403.555	-1436.290	894.255	820.824	-1194.973	802.093	716.986	-1829.022	538.364	485.706	-1736.994	571.805	895.856	-1627.331	568.189	123.538	-1078.834	856.189	815.839	-1120.347	737.692	   NaN	   NaN	   NaN
9	0.09000	524.330	1115.135	1254.614	421.886	1086.326	1262.717	424.255	1337.244	1232.618	487.710	1352.742	1129.395	659.604	1154.284	1054.222	253.766	1410.536	1078.316	656.628	1038.874	737.641	97.054	1217.416	799.905	582.675	873.213	863.996	226.091	1048.993	897.158	525.215	1458.838	593.981	609.755	1209.971	607.589	280.703	1358.954	620.579	578.081	937.167	1478.644	325.466	1008.088	772.748	727.591	713.097	928.018	1564.764	590.325	1236.974	1560.627	705.869	1223.423	1782.904	651.591	1223.710	1821.053	645.037	1074.070	1671.035	445.283	1007.108	1748.944	874.467	1056.383	1509.460	375.653	738.058	1548.053	941.687	794.445	1343.941	389.516	871.226	1436.882	781.618	895.865	1872.389	677.628	584.895	1685.732	506.035	600.155	1688.931	864.640	602.742	1533.781	446.849	1481.090	1413.914	654.102	768.633	1224.493	238.994	973.687	1576.010	-646.003	1235.083	1643.364	-539.233	1254.361	1807.956	-696.245	1227.063	1817.062	-748.181	1095.387	1566.024	-765.502	1023.659	1932.418	-500.389	1083.353	1454.863	-661.388	731.298	1819.476	-298.584	888.447	1278.250	-545.979	820.483	1605.265	-338.389	944.037	1878.315	-739.246	616.371	1634.120	-759.604	611.424	1857.447	-486.088	608.623	1250.375	-651.594	1422.838	1547.402	-407.489	798.857	1032.562	-606.058	850.393	571.395	-1411.189	1216.723	756.034	-1400.712	1195.529	656.258	-1618.344	1227.314	698.541	-1658.939	1085.929	442.041	-1614.102	1034.286	895.373	-1485.299	988.291	314.546	-1581.991	721.942	966.089	-1333.043	682.103	403.619	-1436.343	894.247	820.864	-1194.942	802.101	716.991	-1829.035	538.308	485.691	-1737.026	571.758	895.856	-1627.337	568.182	123.607	-1078.712	856.384	815.875	-1120.304	737.709	   NaN	   NaN	   NaN
10	0.10000	524.372	1115.072	1254.507	421.930	1086.293	1262.636	424.365	1337.232	1232.659	487.754	1352.754	1129.385	659.618	1154.328	1054.173	253.828	1410.612	1078.289	656.598	1039.032	737.485	97.014	1217.657	799.846	582.643	873.316	863.810	226.065	1049.149	896.986	525.215	1458.885	593.990	609.784	1210.000	607.584	280.723	1358.977	620.585	579.614	937.600	1477.923	325.434	1008.075	772.554	727.512	713.146	927.722	1564.671	590.163	1236.851	1560.519	705.774	1223.330	1782.778	651.450	1223.721	1820.958	644.905	1074.053	1670.921	445.187	1007.027	1748.905	874.370	1056.429	1509.435	375.682	737.897	1548.025	941.772	794.566	1343.900	389.475	871.057	1436.775	781.732	895.967	1872.384	677.616	584.889	1685.734	506.019	600.147	1688.917	864.623	602.753	1533.276	445.680	1480.781	1413.711	654.395	768.713	1224.325	239.049	973.442	1575.938	-646.154	1235.039	1643.144	-539.280	1254.256	1807.948	-696.096	1227.082	1817.047	-748.163	1095.383	1566.027	-765.596	1023.578	1932.321	-500.337	1083.357	1454.922	-661.515	731.190	1819.319	-298.589	888.450	1278.246	-546.163	820.319	1605.127	-338.526	943.998	1878.322	-739.247	616.366	1634.131	-759.624	611.398	1857.449	-486.085	608.618	1250.163	-651.801	1422.680	1547.399	-407.700	798.823	1032.571	-606.293	850.185	571.407	-1411.198	1216.670	756.040	-1400.678	1195.456	656.314	-1618.324	1227.246	698.591	-1658.938	1085.856	442.078	-1614.124	1034.224	895.388	-1485.270	988.222	314.551	-1581.995	721.921	966.120	-1332.967	682.078	403.677	-1436.397	894.238	820.906	-1194.906	802.113	716.994	-1829.045	538.244	485.666	-1737.071	571.707	895.856	-1627.342	568.175	123.677	-1078.640	856.592	815.914	-1120.245	737.731	   NaN	   NaN	   NaN
