NO_OF_FRAMES	113
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	435.838	1052.261	1221.880	330.961	1075.060	1223.145	451.545	1294.264	1247.017	520.855	1303.557	1135.042	592.010	1059.485	1023.604	338.497	1470.064	1086.994	562.899	1013.612	695.721	139.134	1396.148	785.535	414.499	879.332	794.945	170.885	1187.107	864.082	212.032	900.863	1493.072	267.164	1089.897	766.226	479.106	665.362	832.241	596.880	1410.830	592.087
2	0.02000	436.079	1052.551	1222.265	331.164	1075.210	1223.620	451.533	1294.603	1246.849	520.787	1303.688	1135.023	591.890	1059.521	1023.698	338.489	1470.276	1086.808	562.798	1013.351	695.946	139.564	1396.672	784.987	414.332	879.262	795.164	171.009	1187.520	863.298	209.437	900.553	1492.341	267.610	1090.512	765.964	478.899	665.326	832.573	596.904	1410.836	592.080
3	0.03000	436.281	1052.831	1222.663	331.343	1075.379	1224.091	451.521	1294.948	1246.670	520.718	1303.822	1135.001	591.770	1059.557	1023.787	338.483	1470.483	1086.635	562.706	1013.123	696.140	139.996	1397.183	784.429	414.176	879.214	795.371	171.145	1187.929	862.496	206.978	900.427	1491.582	267.992	1091.146	765.622	478.709	665.302	832.921	596.928	1410.844	592.069
4	0.04000	436.442	1053.108	1223.069	331.495	1075.562	1224.550	451.507	1295.298	1246.486	520.650	1303.962	1134.978	591.654	1059.596	1023.874	338.480	1470.680	1086.474	562.623	1012.939	696.297	140.424	1397.679	783.870	414.031	879.194	795.570	171.273	1188.324	861.679	204.697	900.510	1490.748	268.329	1091.827	765.151	478.540	665.287	833.286	596.953	1410.852	592.053
5	0.05000	436.565	1053.390	1223.470	331.621	1075.757	1224.991	451.489	1295.650	1246.307	520.587	1304.107	1134.955	591.544	1059.644	1023.964	338.476	1470.863	1086.320	562.546	1012.801	696.422	140.840	1398.155	783.315	413.894	879.205	795.767	171.376	1188.696	860.863	202.628	900.801	1489.790	268.636	1092.576	764.500	478.391	665.277	833.655	596.980	1410.859	592.033
6	0.06000	436.660	1053.681	1223.860	331.720	1075.962	1225.419	451.462	1296.003	1246.136	520.527	1304.257	1134.932	591.443	1059.704	1024.058	338.468	1471.030	1086.173	562.473	1012.703	696.529	141.240	1398.607	782.764	413.763	879.244	795.968	171.440	1189.045	860.068	200.796	901.270	1488.673	268.925	1093.398	763.639	478.263	665.274	834.008	597.007	1410.864	592.011
7	0.07000	436.733	1053.978	1224.238	331.798	1076.179	1225.838	451.423	1296.355	1245.972	520.466	1304.408	1134.912	591.351	1059.781	1024.156	338.450	1471.186	1086.026	562.400	1012.638	696.627	141.618	1399.036	782.220	413.633	879.306	796.179	171.457	1189.376	859.315	199.214	901.865	1487.390	269.209	1094.286	762.570	478.156	665.277	834.328	597.032	1410.870	591.988
8	0.08000	436.795	1054.282	1224.611	331.857	1076.411	1226.253	451.369	1296.704	1245.813	520.401	1304.557	1134.895	591.264	1059.871	1024.259	338.420	1471.334	1085.876	562.327	1012.602	696.723	141.964	1399.451	781.693	413.501	879.390	796.402	171.427	1189.693	858.609	197.899	902.518	1485.961	269.497	1095.220	761.321	478.074	665.288	834.600	597.057	1410.877	591.964
9	0.09000	436.850	1054.596	1224.982	331.905	1076.654	1226.664	451.297	1297.054	1245.653	520.328	1304.703	1134.882	591.177	1059.972	1024.364	338.379	1471.478	1085.718	562.251	1012.589	696.819	142.269	1399.861	781.194	413.363	879.496	796.636	171.353	1189.994	857.946	196.877	903.167	1484.420	269.794	1096.164	759.938	478.017	665.311	834.821	597.081	1410.887	591.941
10	0.10000	436.900	1054.925	1225.356	331.943	1076.907	1227.063	451.209	1297.406	1245.486	520.246	1304.844	1134.873	591.087	1060.076	1024.469	338.327	1471.619	1085.558	562.168	1012.600	696.913	142.522	1400.275	780.737	413.216	879.627	796.880	171.238	1190.273	857.312	196.190	903.759	1482.812	270.091	1097.078	758.478	477.979	665.347	834.994	597.106	1410.899	591.917
