NO_OF_FRAMES	144
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	398.237	1132.021	1225.970	292.867	1148.913	1232.671	403.121	1374.615	1230.173	465.456	1381.507	1124.675	569.832	1139.520	1042.253	272.256	1513.236	1058.288	556.341	1043.949	723.516	100.312	1425.336	737.529	426.135	914.987	838.123	137.462	1219.948	842.400	380.160	998.835	1462.191	209.521	1123.505	740.532	512.053	714.231	921.407	555.281	1458.322	579.048
2	0.02000	398.529	1131.700	1225.711	293.108	1148.271	1232.041	402.688	1374.277	1230.397	465.465	1381.205	1124.655	569.916	1139.117	1042.380	272.066	1512.578	1058.281	556.270	1043.356	723.627	100.090	1422.195	738.128	426.053	914.366	838.223	138.392	1217.096	844.063	382.949	999.293	1465.421	210.415	1120.999	743.738	512.258	713.675	921.631	555.331	1457.519	579.548
3	0.03000	398.840	1131.336	1225.456	293.358	1147.628	1231.431	402.270	1373.920	1230.643	465.482	1380.897	1124.649	570.005	1138.711	1042.514	271.881	1511.903	1058.294	556.196	1042.743	723.741	99.906	1419.079	738.736	425.991	913.751	838.340	139.301	1214.255	845.736	385.601	999.728	1468.630	211.301	1118.548	746.904	512.498	713.097	921.863	555.336	1456.809	580.015
4	0.04000	399.183	1130.880	1225.211	293.617	1146.969	1230.848	401.878	1373.515	1230.936	465.512	1380.567	1124.671	570.106	1138.296	1042.665	271.700	1511.190	1058.354	556.114	1042.085	723.859	99.788	1415.994	739.367	425.974	913.143	838.494	140.199	1211.464	847.429	388.010	1000.129	1471.833	212.183	1116.160	750.026	512.804	712.469	922.106	555.255	1456.268	580.423
5	0.05000	399.559	1130.298	1224.987	293.873	1146.278	1230.283	401.521	1373.041	1231.290	465.556	1380.202	1124.726	570.225	1137.870	1042.836	271.520	1510.431	1058.479	556.022	1041.363	723.984	99.749	1412.956	740.028	426.025	912.544	838.702	141.116	1208.793	849.131	390.099	1000.494	1475.040	213.067	1113.826	753.101	513.191	711.773	922.357	555.074	1455.921	580.762
6	0.06000	399.951	1129.582	1224.793	294.110	1145.549	1229.727	401.205	1372.486	1231.709	465.607	1379.790	1124.819	570.370	1137.431	1043.027	271.337	1509.623	1058.685	555.923	1040.572	724.117	99.792	1409.982	740.713	426.163	911.952	838.973	142.071	1206.284	850.821	391.831	1000.832	1478.258	213.960	1111.522	756.123	513.658	711.002	922.615	554.808	1455.743	581.044
7	0.07000	400.326	1128.764	1224.623	294.312	1144.777	1229.181	400.925	1371.851	1232.180	465.657	1379.323	1124.947	570.541	1136.977	1043.231	271.152	1508.771	1058.980	555.817	1039.721	724.265	99.912	1407.081	741.409	426.391	911.352	839.308	143.057	1203.930	852.482	393.196	1001.158	1481.475	214.854	1109.230	759.080	514.200	710.158	922.876	554.479	1455.693	581.291
8	0.08000	400.647	1127.895	1224.463	294.480	1143.947	1228.651	400.668	1371.142	1232.676	465.702	1378.793	1125.107	570.739	1136.498	1043.438	270.963	1507.879	1059.361	555.706	1038.827	724.432	100.099	1404.263	742.102	426.694	910.719	839.693	144.057	1201.705	854.102	394.210	1001.483	1484.664	215.733	1106.943	761.950	514.811	709.258	923.137	554.103	1455.735	581.518
9	0.09000	400.901	1127.017	1224.296	294.624	1143.039	1228.142	400.418	1370.364	1233.163	465.738	1378.199	1125.290	570.952	1135.987	1043.635	270.775	1506.945	1059.818	555.594	1037.905	724.621	100.340	1401.535	742.785	427.040	910.013	840.103	145.055	1199.583	855.671	394.901	1001.816	1487.783	216.565	1104.661	764.699	515.486	708.324	923.391	553.684	1455.854	581.732
10	0.10000	401.103	1126.145	1224.111	294.756	1142.035	1227.657	400.160	1369.524	1233.605	465.765	1377.542	1125.487	571.168	1135.435	1043.811	270.594	1505.972	1060.328	555.482	1036.968	724.823	100.617	1398.913	743.454	427.375	909.180	840.497	146.039	1197.536	857.171	395.295	1002.159	1490.778	217.323	1102.393	767.281	516.220	707.382	923.639	553.222	1456.043	581.934
11	0.11000	401.287	1125.272	1223.903	294.881	1140.934	1227.197	399.883	1368.626	1233.979	465.784	1376.834	1125.692	571.374	1134.842	1043.958	270.424	1504.965	1060.864	555.376	1036.026	725.019	100.912	1396.409	744.110	427.628	908.142	840.824	147.000	1195.535	858.578	395.411	1002.509	1493.597	217.989	1100.151	769.646	517.007	706.451	923.883	552.723	1456.302	582.126
12	0.12000	401.489	1124.385	1223.669	294.995	1139.747	1226.757	399.582	1367.672	1234.279	465.792	1376.089	1125.897	571.559	1134.212	1044.069	270.270	1503.922	1061.396	555.276	1035.093	725.188	101.206	1394.029	744.752	427.721	906.811	841.033	147.932	1193.560	859.859	395.247	1002.855	1496.197	218.570	1097.951	771.750	517.840	705.549	924.121	552.211	1456.612	582.305
13	0.13000	401.743	1123.477	1223.401	295.098	1138.486	1226.320	399.257	1366.668	1234.512	465.786	1375.323	1126.093	571.723	1133.558	1044.142	270.131	1502.833	1061.890	555.186	1034.182	725.313	101.483	1391.774	745.370	427.597	905.120	841.090	148.833	1191.609	860.983	394.789	1003.174	1498.552	219.112	1095.824	773.558	518.715	704.689	924.336	551.729	1456.933	582.464
14	0.14000	402.077	1122.556	1223.100	295.204	1137.155	1225.870	398.909	1365.621	1234.689	465.764	1374.546	1126.271	571.873	1132.890	1044.176	270.008	1501.687	1062.316	555.108	1033.318	725.386	101.726	1389.640	745.949	427.272	903.097	840.999	149.701	1189.700	861.924	394.012	1003.434	1500.653	219.685	1093.811	775.049	519.632	703.883	924.500	551.330	1457.208	582.599
15	0.15000	402.514	1121.643	1222.772	295.335	1135.757	1225.392	398.540	1364.541	1234.826	465.722	1373.763	1126.422	572.018	1132.216	1044.170	269.893	1500.482	1062.661	555.047	1032.524	725.400	101.925	1387.621	746.475	426.873	900.931	840.813	150.540	1187.863	862.669	392.888	1003.598	1502.496	220.368	1091.962	776.210	520.590	703.133	924.575	551.050	1457.393	582.707
16	0.16000	403.053	1120.752	1222.432	295.519	1134.305	1224.882	398.150	1363.437	1234.931	465.656	1372.974	1126.542	572.168	1131.543	1044.126	269.761	1499.231	1062.948	555.003	1031.824	725.346	102.069	1385.714	746.939	426.586	898.903	840.602	151.357	1186.138	863.215	391.393	1003.634	1504.072	221.229	1090.328	777.024	521.581	702.438	924.518	550.897	1457.466	582.789
17	0.17000	403.661	1119.878	1222.092	295.777	1132.822	1224.342	397.739	1362.318	1235.010	465.566	1372.177	1126.630	572.329	1130.875	1044.047	269.572	1497.947	1063.224	554.976	1031.227	725.215	102.154	1383.921	747.337	426.533	897.200	840.408	152.164	1184.578	863.569	389.512	1003.513	1505.359	222.312	1088.947	777.471	522.593	701.795	924.284	550.863	1457.420	582.852
18	0.18000	404.283	1119.006	1221.766	296.128	1131.330	1223.782	397.308	1361.194	1235.065	465.453	1371.369	1126.692	572.501	1130.221	1043.934	269.291	1496.636	1063.531	554.967	1030.739	725.000	102.176	1382.249	747.671	426.718	895.850	840.231	152.983	1183.237	863.740	387.243	1003.219	1506.332	223.634	1087.839	777.529	523.604	701.196	923.843	550.920	1457.264	582.900
19	0.19000	404.888	1118.133	1221.465	296.585	1129.843	1223.218	396.860	1360.074	1235.097	465.320	1370.549	1126.737	572.681	1129.589	1043.783	268.914	1495.308	1063.877	554.977	1030.362	724.709	102.140	1380.697	747.946	427.085	894.795	840.037	153.834	1182.157	863.735	384.598	1002.745	1506.960	225.188	1087.001	777.178	524.582	700.630	923.182	551.023	1457.033	582.941
20	0.20000	405.469	1117.259	1221.204	297.151	1128.370	1222.669	396.399	1358.963	1235.102	465.171	1369.712	1126.771	572.866	1128.982	1043.593	268.475	1493.988	1064.237	555.014	1030.094	724.357	102.052	1379.256	748.174	427.569	893.967	839.784	154.730	1181.351	863.566	381.600	1002.089	1507.222	226.952	1086.415	776.417	525.493	700.083	922.305	551.119	1456.779	582.982
21	0.21000	406.020	1116.371	1220.985	297.813	1126.919	1222.147	395.929	1357.865	1235.082	465.012	1368.857	1126.801	573.056	1128.396	1043.359	268.019	1492.703	1064.571	555.088	1029.936	723.959	101.920	1377.915	748.364	428.115	893.314	839.440	155.656	1180.772	863.254	378.287	1001.259	1507.107	228.893	1086.044	775.257	526.308	699.542	921.234	551.171	1456.542	583.030
22	0.22000	406.526	1115.441	1220.801	298.553	1125.495	1221.658	395.454	1356.784	1235.042	464.846	1367.988	1126.834	573.258	1127.825	1043.079	267.577	1491.460	1064.856	555.202	1029.888	723.520	101.748	1376.669	748.529	428.690	892.807	838.988	156.562	1180.302	862.840	374.718	1000.262	1506.616	230.972	1085.841	773.728	527.009	698.998	919.992	551.166	1456.343	583.087
23	0.23000	406.976	1114.450	1220.644	299.339	1124.095	1221.205	394.981	1355.724	1234.990	464.675	1367.110	1126.875	573.477	1127.265	1042.760	267.161	1490.243	1065.091	555.356	1029.950	723.040	101.543	1375.518	748.681	429.298	892.457	838.432	157.383	1179.806	862.375	370.974	999.109	1505.761	233.146	1085.753	771.869	527.602	698.450	918.600	551.104	1456.190	583.157
24	0.24000	407.377	1113.407	1220.510	300.124	1122.714	1220.791	394.516	1354.692	1234.934	464.502	1366.226	1126.926	573.719	1126.714	1042.408	266.773	1489.028	1065.281	555.547	1030.116	722.520	101.310	1374.462	748.821	429.979	892.320	837.797	158.077	1179.212	861.893	367.153	997.808	1504.568	235.382	1085.744	769.729	528.107	697.905	917.070	550.996	1456.081	583.242
25	0.25000	407.753	1112.353	1220.401	300.848	1121.351	1220.416	394.069	1353.689	1234.885	464.335	1365.341	1126.987	573.985	1126.175	1042.037	266.417	1487.797	1065.434	555.771	1030.377	721.962	101.057	1373.509	748.945	430.789	892.477	837.125	158.642	1178.528	861.399	363.362	996.366	1503.072	237.658	1085.796	767.361	528.559	697.379	915.406	550.852	1456.007	583.341
26	0.26000	408.126	1111.323	1220.317	301.456	1120.013	1220.077	393.658	1352.705	1234.850	464.180	1364.455	1127.058	574.271	1125.647	1041.658	266.093	1486.554	1065.562	556.023	1030.717	721.371	100.793	1372.663	749.049	431.770	892.990	836.450	159.092	1177.795	860.875	359.709	994.786	1501.322	239.975	1085.919	764.830	528.995	696.894	913.610	550.696	1455.941	583.455
27	0.27000	408.497	1110.318	1220.250	301.931	1118.708	1219.765	393.299	1351.722	1234.830	464.043	1363.569	1127.138	574.566	1125.125	1041.279	265.799	1485.311	1065.683	556.295	1031.127	720.751	100.530	1371.927	749.132	432.897	893.831	835.778	159.439	1177.041	860.302	356.297	993.069	1499.375	242.332	1086.137	762.208	529.442	696.465	911.683	550.555	1455.837	583.577
28	0.28000	408.850	1109.314	1220.190	302.300	1117.439	1219.474	393.008	1350.724	1234.819	463.924	1362.680	1127.231	574.855	1124.596	1040.910	265.534	1484.092	1065.815	556.583	1031.596	720.102	100.272	1371.308	749.193	434.055	894.833	835.073	159.685	1176.279	859.666	353.220	991.212	1497.295	244.699	1086.471	759.560	529.921	696.103	909.636	550.453	1455.659	583.696
29	0.29000	409.175	1108.297	1220.129	302.599	1116.198	1219.205	392.791	1349.700	1234.812	463.824	1361.785	1127.335	575.123	1124.049	1040.556	265.300	1482.916	1065.969	556.892	1032.115	719.428	100.021	1370.806	749.234	435.080	895.757	834.278	159.843	1175.519	858.960	350.555	989.214	1495.143	246.996	1086.914	756.950	530.434	695.813	907.484	550.387	1455.407	583.811
