NO_OF_FRAMES	65
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	508.115	1000.517	1214.834	406.037	1014.501	1241.146	511.179	1242.865	1226.777	534.593	1244.390	1130.892	648.805	1028.100	1026.108	335.955	1350.088	1107.420	617.003	956.455	712.803	77.530	1245.374	857.899	   NaN	   NaN	   NaN	154.077	1033.197	926.922	538.874	790.107	1416.642	226.927	998.537	765.546	595.109	585.195	884.608	557.396	1413.867	579.551
2	0.02000	509.920	1001.547	1216.437	407.476	1014.489	1242.660	509.944	1244.097	1226.163	534.520	1244.376	1130.969	647.858	1027.807	1026.295	336.392	1349.855	1108.338	616.150	954.614	713.152	77.170	1241.459	862.122	   NaN	   NaN	   NaN	155.480	1032.069	936.635	550.782	790.786	1422.817	226.230	995.627	776.562	592.648	584.054	886.371	557.372	1413.999	579.664
3	0.03000	511.686	1002.455	1217.910	408.912	1014.358	1244.033	508.742	1245.222	1225.593	534.482	1244.327	1131.030	646.996	1027.503	1026.399	336.824	1349.578	1109.264	615.300	952.769	713.417	77.150	1237.201	866.161	   NaN	   NaN	   NaN	157.286	1031.106	946.711	562.511	791.757	1430.097	225.834	992.156	788.452	590.112	582.950	887.780	557.346	1414.139	579.791
4	0.04000	513.392	1003.245	1219.218	410.374	1014.103	1245.200	507.604	1246.230	1225.105	534.494	1244.250	1131.066	646.257	1027.170	1026.424	337.251	1349.260	1110.215	614.446	950.942	713.593	77.470	1232.622	869.997	   NaN	   NaN	   NaN	159.497	1030.322	956.940	573.942	793.004	1438.357	225.693	988.203	801.064	587.699	582.024	888.693	557.315	1414.282	579.923
5	0.05000	515.025	1003.905	1220.327	411.856	1013.712	1246.105	506.566	1247.094	1224.712	534.568	1244.148	1131.069	645.666	1026.829	1026.363	337.673	1348.885	1111.200	613.585	949.153	713.669	78.118	1227.772	873.640	   NaN	   NaN	   NaN	162.118	1029.716	967.085	584.980	794.492	1447.416	225.808	983.903	814.177	585.615	581.395	889.000	557.276	1414.424	580.045
6	0.06000	516.580	1004.404	1221.194	413.323	1013.161	1246.704	505.661	1247.756	1224.394	534.714	1244.029	1131.026	645.228	1026.512	1026.205	338.099	1348.407	1112.203	612.729	947.413	713.628	79.062	1222.725	877.124	   NaN	   NaN	   NaN	165.149	1029.265	976.893	595.558	796.181	1457.041	226.268	979.482	827.499	584.028	581.135	888.662	557.225	1414.569	580.136
7	0.07000	518.070	1004.680	1221.752	414.737	1012.424	1246.967	504.925	1248.145	1224.100	534.939	1243.895	1130.920	644.944	1026.247	1025.938	338.540	1347.772	1113.190	611.907	945.732	713.450	80.252	1217.559	880.473	   NaN	   NaN	   NaN	168.572	1028.921	986.124	605.638	798.028	1466.952	227.227	975.208	840.668	583.046	581.243	887.713	557.161	1414.725	580.171
8	0.08000	519.530	1004.636	1221.911	416.076	1011.474	1246.873	504.388	1248.219	1223.781	535.247	1243.746	1130.728	644.811	1026.045	1025.546	339.018	1346.955	1114.128	611.156	944.131	713.111	81.620	1212.332	883.686	   NaN	   NaN	   NaN	172.350	1028.605	994.570	615.199	800.000	1476.839	228.818	971.288	853.278	582.709	581.658	886.234	557.083	1414.902	580.124
9	0.09000	520.997	1004.167	1221.572	417.332	1010.299	1246.410	504.071	1247.977	1223.401	535.649	1243.568	1130.422	644.825	1025.896	1025.015	339.552	1345.968	1114.990	610.514	942.639	712.587	83.095	1207.083	886.751	   NaN	   NaN	   NaN	176.432	1028.209	1002.070	624.214	802.078	1486.373	231.107	967.793	864.927	583.004	582.277	884.315	557.000	1415.105	579.975
10	0.10000	522.488	1003.232	1220.682	418.510	1008.928	1245.568	503.984	1247.432	1222.924	536.158	1243.339	1129.973	644.986	1025.788	1024.326	340.160	1344.848	1115.757	610.023	941.289	711.851	84.618	1201.855	889.660	   NaN	   NaN	   NaN	180.762	1027.611	1008.513	632.630	804.261	1495.230	234.111	964.684	875.244	583.889	582.977	882.049	556.924	1415.337	579.710
11	0.11000	523.980	1001.873	1219.276	419.618	1007.443	1244.346	504.124	1246.595	1222.306	536.786	1243.036	1129.365	645.301	1025.707	1023.453	340.861	1343.637	1116.412	609.714	940.112	710.873	86.158	1196.716	892.423	   NaN	   NaN	   NaN	185.278	1026.696	1013.842	640.369	806.567	1503.106	237.820	961.863	883.886	585.317	583.646	879.542	556.869	1415.598	579.324
12	0.12000	525.406	1000.151	1217.447	420.666	1005.945	1242.749	504.480	1245.467	1221.504	537.532	1242.644	1128.602	645.779	1025.651	1022.360	341.666	1342.362	1116.937	609.612	939.131	709.619	87.709	1191.747	895.044	   NaN	   NaN	   NaN	189.917	1025.370	1018.037	647.342	809.022	1509.726	242.207	959.246	890.556	587.242	584.206	876.933	556.850	1415.888	578.821
13	0.13000	526.670	998.149	1215.295	421.646	1004.480	1240.798	505.036	1244.043	1220.487	538.377	1242.169	1127.714	646.433	1025.621	1021.011	342.576	1341.028	1117.322	609.729	938.368	708.064	89.281	1187.003	897.486	   NaN	   NaN	   NaN	194.613	1023.568	1021.099	653.487	811.650	1514.856	247.215	956.791	895.036	589.607	584.619	874.358	556.877	1416.207	578.215
14	0.14000	527.682	996.032	1212.867	422.538	1002.993	1238.516	505.768	1242.322	1219.259	539.290	1241.625	1126.744	647.268	1025.622	1019.380	343.582	1339.620	1117.568	610.067	937.837	706.196	90.884	1182.498	899.667	   NaN	   NaN	   NaN	199.302	1021.256	1023.034	658.801	814.448	1518.310	252.766	954.490	897.205	592.332	584.886	871.895	556.955	1416.554	577.530
