NO_OF_FRAMES	169
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	289.617	1066.111	1261.593	201.175	1123.417	1271.947	389.101	1287.359	1238.404	426.794	1260.115	1145.873	298.882	1430.118	1124.357	429.238	1011.118	1050.208	10.612	1374.671	907.007	331.595	947.659	751.311	36.841	1187.315	1034.619	180.419	902.669	904.143	198.930	1009.513	1681.407	77.128	1058.154	941.083	160.903	635.304	976.935	572.433	1372.211	612.427
2	0.02000	289.345	1065.229	1260.487	201.055	1122.784	1271.036	389.358	1286.321	1238.091	426.886	1259.875	1145.773	297.896	1429.911	1123.664	430.625	1011.099	1049.514	11.772	1376.737	901.333	334.906	947.364	750.291	33.965	1186.880	1026.791	183.777	901.490	902.800	177.189	1019.532	1676.942	80.542	1056.096	932.101	166.417	633.817	975.123	572.908	1372.695	611.900
3	0.03000	289.021	1064.355	1259.394	200.864	1122.189	1270.088	389.557	1285.317	1238.036	426.962	1259.698	1145.782	297.083	1429.571	1123.159	431.987	1011.139	1049.004	13.067	1378.680	896.073	338.205	947.176	749.425	31.730	1186.592	1019.310	186.971	900.458	901.584	156.936	1028.605	1672.171	83.854	1054.674	924.104	171.597	632.543	973.383	573.390	1373.160	611.503
4	0.04000	288.695	1063.476	1258.261	200.657	1121.574	1269.065	389.730	1284.343	1238.228	427.032	1259.591	1145.872	296.413	1429.158	1122.785	433.310	1011.231	1048.692	14.452	1380.493	891.255	341.483	947.100	748.710	30.119	1186.444	1012.154	189.982	899.579	900.517	138.210	1036.831	1667.198	86.968	1053.826	916.983	176.484	631.442	971.750	573.864	1373.616	611.218
5	0.05000	288.405	1062.594	1257.058	200.469	1120.913	1267.950	389.913	1283.396	1238.619	427.111	1259.553	1146.013	295.812	1428.770	1122.497	434.587	1011.362	1048.573	15.885	1382.199	886.897	344.715	947.143	748.135	29.065	1186.447	1005.321	192.797	898.897	899.595	120.928	1044.298	1662.107	89.856	1053.441	910.611	181.107	630.489	970.250	574.319	1374.057	611.016
6	0.06000	288.170	1061.725	1255.774	200.320	1120.202	1266.747	390.130	1282.472	1239.146	427.208	1259.576	1146.179	295.219	1428.495	1122.245	435.823	1011.529	1048.616	17.336	1383.832	882.971	347.866	947.296	747.679	28.471	1186.616	998.836	195.421	898.464	898.780	104.936	1051.082	1656.959	92.521	1053.351	904.857	185.484	629.674	968.893	574.746	1374.466	610.853
7	0.07000	287.997	1060.881	1254.401	200.215	1119.457	1265.465	390.385	1281.566	1239.739	427.330	1259.653	1146.344	294.608	1428.388	1121.976	437.028	1011.733	1048.774	18.783	1385.427	879.404	350.899	947.532	747.318	28.221	1186.956	992.728	197.886	898.305	898.016	90.068	1057.240	1651.783	94.983	1053.377	899.607	189.623	628.998	967.677	575.148	1374.817	610.683
8	0.08000	287.880	1060.073	1252.936	200.155	1118.698	1264.119	390.674	1280.674	1240.336	427.477	1259.783	1146.485	293.984	1428.474	1121.662	438.207	1011.976	1048.998	20.223	1387.004	876.101	353.787	947.814	747.022	28.199	1187.437	987.013	200.232	898.374	897.258	76.190	1062.808	1646.587	97.283	1053.403	894.762	193.521	628.467	966.591	575.533	1375.085	610.463
9	0.09000	287.809	1059.307	1251.377	200.136	1117.943	1262.720	390.987	1279.797	1240.893	427.651	1259.961	1146.584	293.381	1428.736	1121.294	439.352	1012.255	1049.245	21.667	1388.570	872.975	356.515	948.102	746.768	28.304	1188.005	981.675	202.495	898.554	896.489	63.213	1067.803	1641.381	99.471	1053.395	890.244	197.160	628.076	965.621	575.910	1375.253	610.160
10	0.10000	287.773	1058.587	1249.731	200.154	1117.208	1261.284	391.313	1278.940	1241.384	427.854	1260.179	1146.629	292.859	1429.118	1120.879	440.453	1012.559	1049.479	23.130	1390.120	869.966	359.083	948.363	746.540	28.464	1188.597	976.675	204.694	898.692	895.720	51.093	1072.218	1636.175	101.578	1053.359	885.993	200.507	627.809	964.754	576.288	1375.318	609.758
11	0.11000	287.764	1057.915	1248.009	200.202	1116.503	1259.822	391.643	1278.110	1241.806	428.092	1260.424	1146.615	292.479	1429.563	1120.430	441.500	1012.873	1049.677	24.608	1391.637	867.048	361.501	948.573	746.326	28.642	1189.171	971.968	206.832	898.673	894.965	39.804	1076.034	1630.993	103.611	1053.318	881.960	203.526	627.637	963.990	576.661	1375.292	609.266
12	0.12000	287.777	1057.290	1246.231	200.276	1115.835	1258.341	391.973	1277.312	1242.170	428.371	1260.683	1146.542	292.268	1430.033	1119.963	442.493	1013.182	1049.818	26.081	1393.102	864.221	363.782	948.723	746.120	28.835	1189.705	967.520	208.903	898.490	894.231	29.318	1079.229	1625.863	105.561	1053.298	878.112	206.200	627.534	963.334	577.005	1375.207	608.725
13	0.13000	287.811	1056.700	1244.424	200.373	1115.206	1256.843	392.302	1276.543	1242.495	428.695	1260.946	1146.418	292.223	1430.511	1119.477	443.436	1013.474	1049.890	27.518	1394.504	861.503	365.942	948.816	745.912	29.054	1190.202	963.302	210.892	898.215	893.515	19.596	1081.795	1620.818	107.419	1053.330	874.427	208.536	627.481	962.797	577.285	1375.101	608.194
14	0.14000	287.873	1056.127	1242.619	200.489	1114.608	1255.332	392.625	1275.796	1242.798	429.063	1261.206	1146.255	292.318	1430.989	1118.957	444.338	1013.750	1049.886	28.895	1395.846	858.928	367.997	948.862	745.697	29.311	1190.681	959.298	212.784	897.940	892.822	10.587	1083.745	1615.891	109.187	1053.461	870.879	210.569	627.468	962.379	577.483	1374.999	607.718
15	0.15000	287.966	1055.557	1240.851	200.617	1114.029	1253.817	392.939	1275.070	1243.091	429.467	1261.461	1146.064	292.508	1431.476	1118.395	445.201	1014.011	1049.814	30.201	1397.141	856.525	369.958	948.881	745.469	29.615	1191.173	955.502	214.570	897.741	892.177	 2.240	1085.108	1611.107	110.874	1053.755	867.438	212.358	627.481	962.060	577.606	1374.909	607.316
