NO_OF_FRAMES	116
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	512.770	1062.522	1222.458	408.531	1044.412	1226.032	436.975	1293.187	1233.689	490.429	1325.407	1129.263	652.283	1131.698	1026.381	262.650	1415.725	1071.451	652.479	1076.413	695.789	127.578	1321.181	730.915	574.611	893.039	793.693	201.465	1116.855	801.002	405.834	860.506	1395.976	303.089	1061.779	677.841	717.286	724.129	826.711	534.129	1461.588	595.125
2	0.02000	512.106	1062.164	1222.421	407.803	1044.389	1225.944	436.985	1293.072	1233.619	490.596	1325.152	1129.258	651.857	1130.880	1026.342	263.074	1415.812	1071.637	651.696	1075.961	695.599	126.699	1320.400	731.976	573.183	891.814	793.561	201.035	1116.322	802.295	413.188	861.792	1395.302	301.208	1061.303	678.019	715.110	722.985	826.154	534.205	1461.478	595.039
3	0.03000	511.465	1061.813	1222.385	407.097	1044.360	1225.859	436.991	1292.958	1233.545	490.760	1324.895	1129.256	651.430	1130.058	1026.283	263.491	1415.906	1071.829	650.913	1075.507	695.413	125.839	1319.693	733.022	571.780	890.635	793.402	200.610	1115.790	803.576	420.426	863.070	1394.616	299.358	1060.845	678.200	712.973	721.900	825.619	534.269	1461.387	594.970
4	0.04000	510.855	1061.466	1222.350	406.421	1044.319	1225.778	436.991	1292.841	1233.462	490.919	1324.629	1129.259	650.996	1129.226	1026.197	263.899	1416.010	1072.035	650.121	1075.044	695.236	124.992	1319.081	734.067	570.412	889.516	793.210	200.182	1115.276	804.861	427.514	864.354	1393.908	297.543	1060.410	678.403	710.891	720.902	825.122	534.314	1461.324	594.925
5	0.05000	510.281	1061.116	1222.316	405.776	1044.267	1225.707	436.982	1292.721	1233.371	491.073	1324.351	1129.269	650.550	1128.390	1026.095	264.292	1416.120	1072.261	649.311	1074.564	695.070	124.142	1318.542	735.128	569.076	888.454	792.993	199.735	1114.819	806.175	434.439	865.657	1393.178	295.750	1060.000	678.660	708.875	719.992	824.673	534.343	1461.283	594.906
6	0.06000	509.741	1060.760	1222.278	405.155	1044.200	1225.646	436.966	1292.595	1233.274	491.220	1324.059	1129.287	650.091	1127.560	1025.996	264.665	1416.230	1072.510	648.486	1074.065	694.921	123.278	1318.039	736.215	567.769	887.435	792.768	199.256	1114.470	807.542	441.189	866.991	1392.438	293.961	1059.605	679.002	706.930	719.145	824.275	534.360	1461.253	594.908
7	0.07000	509.223	1060.401	1222.232	404.548	1044.121	1225.591	436.944	1292.464	1233.178	491.363	1323.754	1129.312	649.619	1126.746	1025.915	265.016	1416.332	1072.790	647.662	1073.554	694.795	122.390	1317.539	737.327	566.477	886.435	792.548	198.741	1114.261	808.968	447.742	868.366	1391.705	292.173	1059.201	679.445	705.051	718.330	823.927	534.373	1461.221	594.925
8	0.08000	508.709	1060.056	1222.181	403.950	1044.026	1225.532	436.920	1292.326	1233.085	491.501	1323.438	1129.341	649.137	1125.946	1025.854	265.347	1416.420	1073.102	646.862	1073.047	694.693	121.476	1317.027	738.459	565.192	885.425	792.350	198.200	1114.180	810.434	454.071	869.781	1390.995	290.409	1058.759	679.980	703.225	717.521	823.617	534.389	1461.176	594.949
9	0.09000	508.169	1059.747	1222.137	403.366	1043.918	1225.465	436.892	1292.178	1232.992	491.631	1323.117	1129.371	648.647	1125.156	1025.809	265.660	1416.488	1073.446	646.100	1072.558	694.609	120.543	1316.517	739.604	563.914	884.394	792.190	197.648	1114.169	811.904	460.143	871.229	1390.320	288.701	1058.252	680.576	701.435	716.704	823.330	534.412	1461.113	594.978
10	0.10000	507.583	1059.489	1222.114	402.801	1043.804	1225.395	436.848	1292.015	1232.887	491.750	1322.798	1129.399	648.150	1124.370	1025.776	265.957	1416.532	1073.812	645.372	1072.094	694.529	119.611	1316.050	740.747	562.654	883.353	792.081	197.092	1114.147	813.346	465.937	872.698	1389.682	287.076	1057.678	681.211	699.665	715.882	823.045	534.442	1461.034	595.006
