NO_OF_FRAMES	179
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	410.919	998.540	1251.297	311.677	1009.181	1280.607	411.835	1239.980	1247.721	463.358	1190.602	1143.711	413.940	958.904	1021.017	353.300	1361.606	1173.639	231.441	961.665	744.207	28.565	1403.720	1029.670	106.792	900.210	915.715	80.948	1182.348	1049.181	469.557	777.232	1419.477	64.650	1117.664	884.454	74.122	629.706	957.242	563.283	1361.055	616.834
2	0.02000	409.763	1000.054	1252.667	310.530	1010.751	1282.136	410.575	1241.462	1248.010	461.985	1191.640	1144.335	413.161	959.425	1022.384	351.871	1362.120	1173.621	230.538	959.794	745.386	26.080	1398.779	1031.852	104.787	897.941	916.150	81.629	1178.644	1054.092	471.267	776.226	1426.328	66.486	1113.765	889.391	73.371	628.657	959.639	562.478	1360.689	617.759
3	0.03000	408.469	1001.661	1254.272	309.218	1012.614	1283.933	409.336	1243.019	1248.120	460.546	1192.721	1144.970	412.368	959.918	1023.889	350.415	1362.639	1173.558	229.704	957.936	746.760	23.683	1393.857	1033.979	103.185	895.949	917.025	82.278	1175.057	1059.160	472.632	774.497	1433.186	68.422	1110.079	894.608	72.988	627.397	962.197	561.714	1360.334	618.685
4	0.04000	406.958	1003.407	1256.109	307.724	1014.716	1285.928	408.074	1244.682	1248.145	459.021	1193.859	1145.628	411.514	960.380	1025.611	348.925	1363.122	1173.429	229.019	956.171	748.361	21.380	1388.934	1036.030	102.183	894.482	918.485	82.896	1171.582	1064.389	473.821	772.123	1440.038	70.465	1106.534	900.099	73.128	625.985	965.015	561.007	1359.981	619.597
5	0.05000	405.224	1005.224	1258.137	306.023	1017.011	1288.023	406.729	1246.485	1248.193	457.400	1195.077	1146.325	410.556	960.835	1027.623	347.422	1363.554	1173.217	228.577	954.554	750.174	19.180	1383.970	1037.984	101.881	893.683	920.566	83.504	1168.196	1069.779	475.020	769.253	1446.887	72.603	1103.048	905.860	73.897	624.529	968.179	560.367	1359.616	620.482
6	0.06000	403.290	1007.022	1260.295	304.085	1019.478	1290.117	405.231	1248.461	1248.366	455.686	1196.410	1147.077	409.458	961.325	1029.980	345.937	1363.955	1172.922	228.476	953.099	752.154	17.093	1378.910	1039.825	102.257	893.562	923.189	84.141	1164.859	1075.331	476.406	766.059	1453.749	74.829	1099.587	911.907	75.286	623.177	971.758	559.801	1359.226	621.334
7	0.07000	401.151	1008.803	1262.525	301.873	1022.121	1292.129	403.524	1250.640	1248.740	453.896	1197.890	1147.894	408.214	961.912	1032.705	344.492	1364.383	1172.560	228.812	951.764	754.245	15.119	1373.703	1041.545	103.189	893.987	926.169	84.861	1161.530	1081.048	478.131	762.702	1460.653	77.178	1096.178	918.284	77.113	622.067	975.784	559.311	1358.800	622.153
8	0.08000	398.782	1010.661	1264.793	299.347	1024.974	1294.020	401.575	1253.043	1249.343	452.059	1199.551	1148.779	406.849	962.650	1035.788	343.079	1364.912	1172.158	229.663	950.455	756.400	13.260	1368.317	1043.135	104.484	894.702	929.243	85.721	1158.201	1086.922	480.322	759.307	1467.656	79.712	1092.885	925.070	79.063	621.300	980.224	558.899	1358.331	622.948
9	0.09000	396.150	1012.727	1267.103	296.474	1028.093	1295.800	399.387	1255.689	1250.145	450.199	1201.423	1149.732	405.432	963.578	1039.186	341.664	1365.612	1171.723	231.070	949.058	758.585	11.526	1362.760	1044.575	105.918	895.387	932.116	86.765	1154.909	1092.927	483.100	755.965	1474.860	82.493	1089.737	932.376	80.792	620.952	984.928	558.568	1357.815	623.739
10	0.10000	393.220	1015.129	1269.516	293.220	1031.558	1297.522	396.976	1258.595	1251.062	448.333	1203.527	1150.759	404.052	964.709	1042.832	340.202	1366.534	1171.237	233.018	947.490	760.773	 9.942	1357.087	1045.813	107.280	895.741	934.518	88.013	1151.740	1098.999	486.580	752.758	1482.419	85.566	1086.695	940.327	82.040	621.039	989.649	558.316	1357.249	624.550
11	0.11000	389.955	1017.954	1272.133	289.563	1035.447	1299.262	394.370	1261.777	1251.984	446.465	1205.863	1151.864	402.798	966.028	1046.644	338.648	1367.722	1170.677	235.456	945.705	762.935	 8.544	1351.381	1046.761	108.420	895.545	936.254	89.457	1148.811	1105.035	490.855	749.800	1490.539	88.980	1083.674	949.030	82.686	621.469	994.122	558.137	1356.632	625.403
12	0.12000	386.323	1021.236	1275.053	285.512	1039.800	1301.089	391.612	1265.227	1252.788	444.591	1208.394	1153.044	401.733	967.494	1050.539	336.973	1369.195	1170.020	238.342	943.669	765.049	 7.368	1345.737	1047.285	109.292	894.704	937.237	91.055	1146.227	1110.885	495.958	747.263	1499.438	92.775	1080.602	958.533	82.752	622.056	998.141	558.016	1355.973	626.303
13	0.13000	382.301	1024.951	1278.332	281.111	1044.589	1303.047	388.766	1268.892	1253.358	442.709	1211.043	1154.280	400.893	969.050	1054.424	335.170	1370.924	1169.241	241.662	941.363	767.107	 6.432	1340.241	1047.219	109.983	893.282	937.521	92.741	1144.065	1116.369	501.811	745.394	1509.290	96.931	1077.463	968.806	82.383	622.599	1001.594	557.934	1355.300	627.235
14	0.14000	377.877	1029.032	1281.967	276.410	1049.758	1305.149	385.923	1272.662	1253.599	440.825	1213.706	1155.532	400.298	970.628	1058.204	333.248	1372.822	1168.314	245.394	938.814	769.106	 5.732	1334.955	1046.385	110.699	891.510	937.293	94.427	1142.363	1121.294	508.207	744.486	1520.155	101.324	1074.313	979.722	81.810	622.948	1004.463	557.871	1354.656	628.175
15	0.15000	373.049	1033.371	1285.902	271.432	1055.268	1307.376	383.196	1276.370	1253.438	438.955	1216.275	1156.741	399.959	972.161	1061.779	331.196	1374.779	1167.244	249.485	936.125	771.045	 5.238	1329.927	1044.617	111.703	889.709	936.826	96.015	1141.135	1125.478	514.818	744.826	1531.910	105.698	1071.254	991.042	81.346	623.035	1006.821	557.817	1354.079	629.089
16	0.16000	367.838	1037.831	1290.039	266.196	1061.078	1309.673	380.721	1279.814	1252.839	437.124	1218.667	1157.834	399.898	973.593	1065.045	328.976	1376.692	1166.068	253.831	933.464	772.896	 4.897	1325.200	1041.787	113.211	888.171	936.387	97.416	1140.398	1128.760	521.225	746.638	1544.227	109.673	1068.392	1002.396	81.347	622.869	1008.834	557.775	1353.592	629.942
17	0.17000	362.306	1042.238	1294.229	260.756	1067.084	1311.935	378.634	1282.789	1251.809	435.364	1220.837	1158.736	400.149	974.894	1067.910	326.532	1378.484	1164.823	258.284	931.032	774.600	 4.641	1320.826	1037.822	115.337	887.073	936.175	98.562	1140.178	1131.016	526.959	750.044	1556.593	112.797	1065.809	1013.292	82.144	622.527	1010.718	557.753	1353.207	630.697
18	0.18000	356.568	1046.389	1298.275	255.220	1073.105	1314.022	377.048	1285.150	1250.426	433.708	1222.781	1159.384	400.754	976.071	1070.295	323.808	1380.111	1163.519	262.701	928.984	776.080	 4.406	1316.883	1032.707	118.076	886.444	936.287	99.414	1140.517	1132.154	531.529	755.068	1568.405	114.636	1063.555	1023.138	83.957	622.126	1012.657	557.761	1352.929	631.315
19	0.19000	350.785	1050.059	1301.949	249.741	1078.914	1315.780	376.013	1286.849	1248.839	432.182	1224.524	1159.740	401.755	977.156	1072.143	320.776	1381.571	1162.122	266.989	927.356	777.282	 4.149	1313.474	1026.493	121.331	886.187	936.725	99.935	1141.434	1132.105	534.466	761.655	1579.102	114.877	1061.660	1031.315	86.817	621.780	1014.719	557.802	1352.765	631.757
20	0.20000	345.148	1053.054	1305.001	244.496	1084.272	1317.065	375.493	1287.943	1247.228	430.800	1226.112	1159.801	403.174	978.203	1073.415	317.442	1382.913	1160.557	271.114	926.075	778.188	 3.856	1310.720	1019.279	124.962	886.119	937.412	100.054	1142.883	1130.804	535.379	769.710	1588.291	113.427	1060.133	1037.266	90.553	621.545	1016.831	557.875	1352.721	631.981
21	0.21000	339.854	1055.270	1307.195	239.679	1088.961	1317.754	375.393	1288.552	1245.758	429.566	1227.607	1159.593	405.004	979.272	1074.100	313.854	1384.224	1158.736	275.076	925.023	778.817	 3.545	1308.739	1011.202	128.820	886.037	938.228	99.641	1144.713	1128.196	534.016	779.086	1595.806	110.418	1058.884	1040.604	94.862	621.384	1018.829	557.972	1352.805	631.945
22	0.22000	335.091	1056.708	1308.349	235.471	1092.810	1317.760	375.613	1288.796	1244.537	428.474	1229.083	1159.164	407.195	980.419	1074.220	310.103	1385.608	1156.589	278.890	924.086	779.201	 3.260	1307.614	1002.408	132.786	885.756	939.022	98.526	1146.684	1124.254	530.298	789.586	1601.669	106.131	1057.679	1041.161	99.444	621.165	1020.534	558.083	1353.021	631.619
