NO_OF_FRAMES	181
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
14	0.14000	344.801	1017.142	1233.689	245.326	1053.072	1237.465	394.154	1255.323	1244.169	451.101	1236.335	1140.479	490.647	993.759	1034.550	296.916	1393.287	1111.711	417.492	935.460	727.245	50.175	1316.203	851.382	265.909	864.553	868.231	82.940	1123.025	970.394	224.043	949.177	1612.524	153.790	1003.851	865.919	279.319	592.248	923.667	590.374	1372.306	605.113
15	0.15000	343.686	1016.860	1232.056	244.367	1052.815	1235.435	393.575	1254.656	1244.466	450.998	1236.606	1140.440	491.420	994.199	1034.605	296.744	1394.003	1110.818	419.730	936.214	726.745	51.606	1319.342	847.513	267.847	864.640	867.046	82.060	1124.376	964.192	211.929	948.884	1606.873	155.650	1006.029	859.226	281.967	592.434	921.787	590.657	1372.345	604.733
16	0.16000	342.634	1016.637	1230.412	243.431	1052.643	1233.380	392.997	1254.050	1244.776	450.927	1236.896	1140.392	492.156	994.605	1034.668	296.669	1394.747	1109.932	421.932	936.893	726.292	53.034	1322.379	843.812	269.663	864.790	865.934	81.237	1125.669	958.180	200.709	948.302	1601.203	157.514	1008.176	852.871	284.428	592.676	919.984	590.929	1372.371	604.365
17	0.17000	341.638	1016.433	1228.778	242.526	1052.543	1231.308	392.442	1253.497	1245.090	450.889	1237.212	1140.323	492.863	994.961	1034.750	296.672	1395.510	1109.051	424.103	937.494	725.892	54.449	1325.324	840.288	271.385	864.992	864.921	80.469	1126.973	952.467	190.297	947.455	1595.526	159.388	1010.359	846.792	286.707	592.948	918.313	591.187	1372.395	604.010
18	0.18000	340.687	1016.226	1227.169	241.652	1052.500	1229.234	391.926	1252.989	1245.406	450.890	1237.552	1140.224	493.554	995.259	1034.879	296.735	1396.283	1108.181	426.248	938.022	725.547	55.846	1328.185	836.947	273.050	865.229	863.992	79.764	1128.358	947.132	180.622	946.368	1589.844	161.267	1012.624	840.930	288.810	593.237	916.819	591.428	1372.424	603.671
19	0.19000	339.767	1016.019	1225.591	240.808	1052.505	1227.176	391.456	1252.512	1245.719	450.933	1237.913	1140.094	494.254	995.502	1035.078	296.841	1397.066	1107.331	428.363	938.489	725.254	57.228	1330.972	833.798	274.688	865.482	863.119	79.129	1129.841	942.203	171.642	945.067	1584.157	163.111	1014.950	835.244	290.757	593.526	915.541	591.653	1372.463	603.344
20	0.20000	338.866	1015.824	1224.046	239.990	1052.553	1225.148	391.030	1252.055	1246.019	451.022	1238.290	1139.934	494.978	995.703	1035.341	296.974	1397.857	1106.510	430.435	938.913	725.001	58.601	1333.695	830.843	276.310	865.728	862.289	78.561	1131.400	937.658	163.347	943.577	1578.476	164.877	1017.301	829.733	292.578	593.796	914.497	591.861	1372.516	603.028
21	0.21000	337.980	1015.649	1222.547	239.196	1052.641	1223.170	390.638	1251.611	1246.287	451.158	1238.675	1139.752	495.719	995.897	1035.625	297.124	1398.647	1105.727	432.447	939.311	724.775	59.973	1336.360	828.077	277.909	865.948	861.504	78.056	1133.005	933.448	155.749	941.915	1572.825	166.552	1019.692	824.431	294.313	594.032	913.678	592.048	1372.586	602.724
22	0.22000	337.114	1015.490	1221.113	238.426	1052.762	1221.260	390.263	1251.182	1246.501	451.335	1239.058	1139.558	496.453	996.123	1035.871	297.283	1399.425	1104.988	434.379	939.694	724.563	61.348	1338.968	825.488	279.467	866.134	860.765	77.610	1134.630	929.509	148.871	940.094	1567.244	168.136	1022.161	819.383	295.997	594.226	913.054	592.208	1372.672	602.436
23	0.23000	336.276	1015.347	1219.765	237.684	1052.910	1219.441	389.890	1250.777	1246.651	451.541	1239.435	1139.361	497.165	996.408	1036.041	297.452	1400.180	1104.294	436.215	940.067	724.355	62.723	1341.522	823.053	280.960	866.285	860.071	77.219	1136.260	925.779	142.743	938.122	1561.786	169.597	1024.723	814.614	297.652	594.373	912.580	592.337	1372.776	602.167
