NO_OF_FRAMES	107
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	481.709	934.295	1189.001	379.785	945.411	1216.634	484.240	1174.556	1226.146	504.100	1189.905	1134.118	635.505	992.726	1015.599	295.100	1292.179	1103.195	612.996	948.993	697.587	99.183	1217.315	785.194	   NaN	   NaN	   NaN	167.544	1000.109	844.308	433.906	735.637	1395.895	263.543	954.923	696.752	620.135	563.001	848.436	543.076	1403.435	598.478
2	0.02000	482.049	934.383	1189.058	380.076	945.398	1216.676	484.313	1174.652	1226.209	504.193	1189.977	1134.135	635.679	992.853	1015.600	295.120	1292.083	1103.144	613.142	949.286	697.550	98.832	1217.414	785.466	   NaN	   NaN	   NaN	167.558	1000.176	844.212	436.826	736.892	1394.839	262.841	955.090	696.196	620.542	563.149	848.130	543.063	1403.385	598.504
3	0.03000	482.416	934.457	1189.128	380.382	945.378	1216.730	484.398	1174.750	1226.272	504.299	1190.057	1134.158	635.875	992.993	1015.617	295.145	1291.975	1103.094	613.274	949.559	697.528	98.474	1217.499	785.780	   NaN	   NaN	   NaN	167.580	1000.222	844.160	439.889	738.128	1393.798	262.129	955.215	695.684	620.952	563.283	847.828	543.064	1403.321	598.526
4	0.04000	482.815	934.497	1189.214	380.703	945.351	1216.800	484.491	1174.851	1226.334	504.419	1190.141	1134.187	636.098	993.149	1015.645	295.185	1291.875	1103.072	613.389	949.817	697.514	98.107	1217.560	786.142	   NaN	   NaN	   NaN	167.600	1000.240	844.168	443.064	739.347	1392.740	261.418	955.296	695.191	621.349	563.417	847.521	543.084	1403.235	598.540
5	0.05000	483.251	934.484	1189.314	381.033	945.323	1216.890	484.586	1174.960	1226.396	504.553	1190.229	1134.222	636.345	993.322	1015.678	295.249	1291.798	1103.094	613.495	950.066	697.502	97.729	1217.583	786.556	   NaN	   NaN	   NaN	167.614	1000.225	844.251	446.319	740.552	1391.627	260.696	955.356	694.698	621.720	563.559	847.208	543.128	1403.121	598.542
6	0.06000	483.722	934.413	1189.425	381.369	945.301	1216.997	484.680	1175.078	1226.463	504.701	1190.319	1134.260	636.613	993.506	1015.707	295.339	1291.746	1103.156	613.601	950.309	697.487	97.338	1217.554	787.024	   NaN	   NaN	   NaN	167.620	1000.171	844.422	449.639	741.742	1390.429	259.948	955.421	694.198	622.062	563.713	846.903	543.191	1402.979	598.532
7	0.07000	484.219	934.302	1189.552	381.709	945.298	1217.118	484.768	1175.211	1226.539	504.862	1190.410	1134.298	636.889	993.691	1015.727	295.453	1291.712	1103.247	613.717	950.547	697.470	96.938	1217.456	787.545	   NaN	   NaN	   NaN	167.621	1000.081	844.688	453.030	742.915	1389.140	259.165	955.499	693.698	622.384	563.873	846.629	543.259	1402.827	598.516
8	0.08000	484.723	934.207	1189.705	382.057	945.320	1217.251	484.850	1175.361	1226.627	505.031	1190.501	1134.335	637.161	993.866	1015.740	295.588	1291.689	1103.354	613.852	950.776	697.455	96.526	1217.288	788.115	   NaN	   NaN	   NaN	167.622	999.963	845.051	456.520	744.063	1387.770	258.344	955.581	693.217	622.700	564.030	846.406	543.313	1402.691	598.505
9	0.09000	485.198	934.216	1189.892	382.426	945.368	1217.394	484.928	1175.528	1226.730	505.204	1190.590	1134.370	637.419	994.024	1015.751	295.738	1291.670	1103.471	614.010	950.995	697.453	96.102	1217.061	788.729	   NaN	   NaN	   NaN	167.630	999.825	845.507	460.147	745.179	1386.349	257.490	955.645	692.783	623.028	564.175	846.243	543.341	1402.585	598.505
10	0.10000	485.611	934.434	1190.114	382.828	945.436	1217.551	485.006	1175.713	1226.843	505.375	1190.678	1134.402	637.658	994.163	1015.769	295.899	1291.648	1103.597	614.184	951.200	697.470	95.661	1216.791	789.381	   NaN	   NaN	   NaN	167.650	999.671	846.041	463.956	746.253	1384.908	256.606	955.668	692.429	623.380	564.307	846.137	543.344	1402.513	598.518
11	0.11000	485.945	934.923	1190.365	383.273	945.516	1217.725	485.085	1175.917	1226.956	505.541	1190.765	1134.431	637.880	994.287	1015.801	296.067	1291.620	1103.732	614.365	951.391	697.510	95.200	1216.486	790.072	   NaN	   NaN	   NaN	167.687	999.505	846.631	467.984	747.285	1383.477	255.696	955.624	692.185	623.761	564.424	846.081	543.328	1402.467	598.541
12	0.12000	486.224	935.633	1190.646	383.756	945.599	1217.924	485.162	1176.140	1227.057	505.701	1190.854	1134.460	638.088	994.405	1015.853	296.235	1291.580	1103.875	614.550	951.564	697.577	94.711	1216.150	790.801	   NaN	   NaN	   NaN	167.737	999.322	847.249	472.255	748.280	1382.070	254.762	955.504	692.069	624.167	564.526	846.070	543.298	1402.442	598.571
13	0.13000	486.515	936.408	1190.957	384.260	945.670	1218.155	485.235	1176.383	1227.135	505.858	1190.951	1134.491	638.290	994.527	1015.925	296.403	1291.528	1104.024	614.741	951.715	697.672	94.187	1215.784	791.575	   NaN	   NaN	   NaN	167.791	999.118	847.876	476.774	749.251	1380.680	253.798	955.313	692.076	624.585	564.614	846.096	543.257	1402.437	598.609
14	0.14000	486.893	937.055	1191.297	384.755	945.713	1218.431	485.304	1176.648	1227.184	506.016	1191.061	1134.527	638.493	994.659	1016.017	296.569	1291.466	1104.172	614.942	951.837	697.798	93.621	1215.378	792.402	   NaN	   NaN	   NaN	167.840	998.883	848.509	481.524	750.218	1379.279	252.800	955.066	692.184	625.000	564.686	846.156	543.204	1402.452	598.655
15	0.15000	487.407	937.455	1191.654	385.212	945.724	1218.759	485.369	1176.936	1227.213	506.184	1191.188	1134.574	638.701	994.800	1016.125	296.738	1291.396	1104.316	615.154	951.923	697.953	93.005	1214.915	793.289	   NaN	   NaN	   NaN	167.876	998.604	849.165	486.464	751.205	1377.830	251.768	954.776	692.355	625.400	564.739	846.246	543.139	1402.489	598.707
