NO_OF_FRAMES	132
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	430.816	1069.787	1245.528	324.172	1090.122	1243.548	437.361	1314.340	1233.620	509.233	1309.349	1134.920	597.419	1063.601	1049.474	323.107	1453.432	1066.333	590.997	981.736	730.655	141.928	1382.312	744.635	441.764	854.964	836.263	166.686	1173.386	831.707	378.079	898.356	1423.448	234.586	1077.194	706.611	513.604	645.683	892.987	594.683	1407.380	590.245
2	0.02000	430.314	1069.502	1245.552	323.517	1090.335	1243.410	437.071	1314.317	1233.397	509.241	1309.087	1134.958	596.844	1063.221	1049.388	323.531	1453.894	1067.070	590.289	981.533	730.524	141.164	1382.834	745.842	440.710	854.734	835.974	166.120	1173.908	832.747	381.690	897.957	1422.533	233.428	1077.824	707.013	511.843	645.578	892.424	594.673	1407.387	590.244
3	0.03000	429.781	1069.288	1245.604	322.878	1090.548	1243.271	436.780	1314.303	1233.182	509.250	1308.826	1134.993	596.275	1062.839	1049.305	323.953	1454.318	1067.772	589.588	981.338	730.389	140.414	1383.354	747.031	439.619	854.502	835.637	165.573	1174.408	833.761	385.283	897.567	1421.666	232.260	1078.419	707.456	510.106	645.479	891.869	594.661	1407.395	590.244
4	0.04000	429.184	1069.209	1245.700	322.260	1090.756	1243.129	436.481	1314.305	1232.981	509.259	1308.565	1135.023	595.710	1062.449	1049.223	324.377	1454.666	1068.410	588.894	981.158	730.247	139.678	1383.876	748.200	438.461	854.298	835.205	165.049	1174.878	834.747	388.887	897.182	1420.878	231.059	1078.959	707.992	508.403	645.390	891.334	594.645	1407.404	590.246
5	0.05000	428.505	1069.303	1245.842	321.668	1090.952	1242.986	436.167	1314.324	1232.796	509.271	1308.308	1135.050	595.149	1062.046	1049.143	324.808	1454.922	1068.976	588.210	980.994	730.099	138.950	1384.399	749.355	437.251	854.205	834.646	164.544	1175.315	835.711	392.524	896.794	1420.190	229.810	1079.435	708.655	506.737	645.317	890.833	594.625	1407.416	590.253
6	0.06000	427.768	1069.547	1246.010	321.097	1091.132	1242.844	435.828	1314.360	1232.625	509.285	1308.057	1135.078	594.594	1061.622	1049.063	325.254	1455.098	1069.487	587.538	980.847	729.949	138.224	1384.918	750.507	436.053	854.347	833.967	164.049	1175.725	836.668	396.212	896.393	1419.600	228.508	1079.857	709.454	505.107	645.259	890.371	594.600	1407.431	590.265
7	0.07000	427.045	1069.855	1246.179	320.536	1091.297	1242.705	435.452	1314.409	1232.461	509.306	1307.812	1135.109	594.047	1061.172	1048.977	325.720	1455.212	1069.970	586.873	980.716	729.798	137.495	1385.427	751.668	434.952	854.793	833.228	163.550	1176.112	837.634	399.959	895.967	1419.081	227.156	1080.247	710.374	503.505	645.207	889.939	594.572	1407.447	590.283
8	0.08000	426.409	1070.125	1246.332	319.973	1091.444	1242.574	435.029	1314.470	1232.295	509.337	1307.571	1135.146	593.514	1060.690	1048.881	326.212	1455.278	1070.445	586.211	980.601	729.646	136.757	1385.928	752.850	433.984	855.475	832.520	163.033	1176.480	838.621	403.776	895.504	1418.581	225.758	1080.630	711.382	501.930	645.155	889.527	594.540	1407.461	590.304
9	0.09000	425.884	1070.312	1246.473	319.400	1091.570	1242.448	434.550	1314.545	1232.115	509.377	1307.327	1135.193	592.999	1060.176	1048.769	326.733	1455.305	1070.924	585.551	980.502	729.489	136.010	1386.425	754.065	433.122	856.242	831.905	162.488	1176.825	839.641	407.678	894.989	1418.044	224.320	1081.027	712.441	500.388	645.103	889.123	594.503	1407.470	590.326
10	0.10000	425.432	1070.433	1246.623	318.817	1091.679	1242.318	434.012	1314.631	1231.916	509.427	1307.074	1135.253	592.503	1059.637	1048.642	327.273	1455.310	1071.419	584.896	980.421	729.325	135.251	1386.921	755.320	432.305	856.951	831.391	161.911	1177.150	840.702	411.674	894.405	1417.419	222.842	1081.454	713.517	498.896	645.054	888.717	594.461	1407.469	590.348
