NO_OF_FRAMES	141
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	503.067	1108.818	1266.806	397.372	1111.417	1279.615	471.377	1347.857	1228.869	544.380	1333.249	1134.176	356.247	1480.553	1079.612	623.819	1082.603	1046.046	144.428	1388.199	782.646	577.055	981.750	735.789	184.328	1182.678	870.114	448.805	858.075	866.515	443.880	931.702	1455.075	254.864	1091.655	744.496	528.883	656.604	937.751	607.780	1409.235	586.625
2	0.02000	502.701	1109.219	1267.731	397.013	1112.156	1280.644	471.492	1348.174	1228.566	544.339	1332.976	1134.312	356.628	1480.384	1080.082	623.344	1082.049	1046.532	143.192	1386.897	784.937	576.905	981.571	736.018	184.214	1182.008	873.314	447.979	857.343	866.204	446.982	932.285	1457.493	253.798	1090.615	747.674	527.786	656.347	937.745	607.681	1409.171	586.704
3	0.03000	502.273	1109.580	1268.593	396.593	1112.870	1281.593	471.591	1348.453	1228.278	544.257	1332.688	1134.459	356.914	1480.229	1080.543	622.908	1081.520	1047.022	142.038	1385.695	787.046	576.839	981.447	736.229	184.098	1181.355	876.176	447.191	856.632	865.796	449.607	932.818	1459.693	252.836	1089.665	750.523	526.792	656.121	937.642	607.554	1409.134	586.781
4	0.04000	501.780	1109.893	1269.370	396.120	1113.544	1282.441	471.679	1348.686	1228.010	544.140	1332.394	1134.606	357.115	1480.075	1080.988	622.489	1081.036	1047.491	140.954	1384.594	788.962	576.865	981.364	736.416	183.974	1180.698	878.657	446.506	856.094	865.357	451.820	933.261	1461.653	251.978	1088.796	753.044	525.885	655.928	937.446	607.406	1409.119	586.864
5	0.05000	501.230	1110.154	1270.051	395.601	1114.165	1283.176	471.749	1348.874	1227.760	543.993	1332.106	1134.740	357.248	1479.899	1081.399	622.071	1080.613	1047.911	139.929	1383.599	790.683	576.981	981.310	736.566	183.833	1180.021	880.739	445.965	855.811	864.934	453.688	933.579	1463.352	251.210	1087.986	755.239	525.051	655.768	937.169	607.244	1409.120	586.955
6	0.06000	500.637	1110.364	1270.632	395.053	1114.719	1283.800	471.786	1349.021	1227.525	543.821	1331.837	1134.852	357.323	1479.696	1081.760	621.651	1080.258	1048.264	138.957	1382.715	792.209	577.179	981.274	736.671	183.657	1179.309	882.438	445.568	855.763	864.531	455.272	933.742	1464.770	250.515	1087.205	757.111	524.286	655.649	936.822	607.077	1409.130	587.058
7	0.07000	500.020	1110.533	1271.113	394.491	1115.193	1284.321	471.769	1349.133	1227.299	543.624	1331.592	1134.936	357.336	1479.485	1082.071	621.232	1079.965	1048.546	138.037	1381.941	793.543	577.450	981.249	736.726	183.417	1178.567	883.809	445.286	855.872	864.126	456.620	933.729	1465.888	249.867	1086.429	758.657	523.590	655.574	936.419	606.915	1409.145	587.169
8	0.08000	499.399	1110.665	1271.507	393.927	1115.584	1284.753	471.684	1349.215	1227.076	543.400	1331.373	1134.993	357.286	1479.282	1082.337	620.817	1079.726	1048.766	137.172	1381.276	794.691	577.788	981.230	736.732	183.099	1177.840	884.910	445.084	856.055	863.694	457.758	933.529	1466.692	249.229	1085.645	759.869	522.970	655.542	935.971	606.768	1409.161	587.285
9	0.09000	498.792	1110.762	1271.833	393.360	1115.900	1285.110	471.524	1349.268	1226.852	543.146	1331.173	1135.031	357.186	1479.084	1082.564	620.406	1079.525	1048.940	136.361	1380.722	795.669	578.182	981.218	736.697	182.726	1177.194	885.767	444.932	856.256	863.218	458.700	933.139	1467.166	248.566	1084.855	760.742	522.431	655.547	935.476	606.642	1409.175	587.399
10	0.10000	498.208	1110.821	1272.111	392.788	1116.153	1285.403	471.296	1349.294	1226.630	542.859	1330.982	1135.060	357.054	1478.869	1082.761	620.002	1079.352	1049.086	135.602	1380.280	796.497	578.601	981.232	736.630	182.326	1176.656	886.377	444.805	856.456	862.693	459.451	932.568	1467.307	247.845	1084.075	761.281	521.976	655.580	934.927	606.539	1409.188	587.508
